       Step     Time          Energy          fmax
FIRE2:    0 16:44:46    -1070.657959        0.136823
FIRE2:    1 16:44:50    -1070.658569        0.136570
FIRE2:    2 16:44:54    -1070.659668        0.136062
FIRE2:    3 16:44:57    -1070.661377        0.135302
FIRE2:    4 16:45:00    -1070.663574        0.134291
FIRE2:    5 16:45:04    -1070.666260        0.133033
FIRE2:    6 16:45:07    -1070.669434        0.131528
FIRE2:    7 16:45:10    -1070.673096        0.129782
FIRE2:    8 16:45:14    -1070.677246        0.127799
FIRE2:    9 16:45:17    -1070.681885        0.125581
FIRE2:   10 16:45:20    -1070.686768        0.123137
FIRE2:   11 16:45:24    -1070.692139        0.120470
FIRE2:   12 16:45:27    -1070.697754        0.117587
FIRE2:   13 16:45:30    -1070.703613        0.114495
FIRE2:   14 16:45:34    -1070.709717        0.111195
FIRE2:   15 16:45:37    -1070.716064        0.107704
FIRE2:   16 16:45:40    -1070.722412        0.104027
FIRE2:   17 16:45:44    -1070.729004        0.100167
FIRE2:   18 16:45:47    -1070.735474        0.096140
FIRE2:   19 16:45:50    -1070.742065        0.091950
FIRE2:   20 16:45:54    -1070.748535        0.087606
FIRE2:   21 16:45:57    -1070.754883        0.083122
FIRE2:   22 16:46:00    -1070.761841        0.078023
FIRE2:   23 16:46:04    -1070.769043        0.072242
FIRE2:   24 16:46:07    -1070.776855        0.065680
FIRE2:   25 16:46:10    -1070.784668        0.058257
FIRE2:   26 16:46:14    -1070.792480        0.049883
FIRE2:   27 16:46:17    -1070.799805        0.040469
FIRE2:   28 16:46:20    -1070.806274        0.029945
FIRE2:   29 16:46:24    -1070.811279        0.018255
FIRE2:   30 16:46:27    -1070.813965        0.005382
FIRE2:   31 16:46:30    -1070.813477        0.008638
FIRE2:   32 16:46:36    -1070.813965        0.005139
FIRE2:   33 16:46:39    -1070.813965        0.005111
FIRE2:   34 16:46:42    -1070.813965        0.005068
FIRE2:   35 16:46:46    -1070.813965        0.005012
FIRE2:   36 16:46:49    -1070.813965        0.004939
FIRE2:   37 16:46:53    -1070.813965        0.004855
FIRE2:   38 16:46:56    -1070.813965        0.004757
FIRE2:   39 16:46:59    -1070.813965        0.004646
FIRE2:   40 16:47:02    -1070.813965        0.004524
FIRE2:   41 16:47:06    -1070.813965        0.004385
FIRE2:   42 16:47:09    -1070.813965        0.004237
FIRE2:   43 16:47:12    -1070.814087        0.004075
FIRE2:   44 16:47:16    -1070.814209        0.003906
FIRE2:   45 16:47:19    -1070.814087        0.003721
