       Step     Time          Energy          fmax
FIRE2:    0 22:05:49    -1070.657959       30.333886
FIRE2:    1 22:05:50     -973.982544     1444.211957
FIRE2:    2 22:05:51    -1059.162598      275.965596
FIRE2:    3 22:05:51    -1070.207764       61.788059
FIRE2:    4 22:05:51    -1070.814209        0.497710
FIRE2:    5 22:05:52    -1067.463257       82.251032
FIRE2:    6 22:05:52    -1068.003418       72.139999
FIRE2:    7 22:05:52    -1068.688232       66.709192
FIRE2:    8 22:05:52    -1069.499512       61.709510
FIRE2:    9 22:05:52    -1070.314453       45.023748
FIRE2:   10 22:05:52    -1070.793701       10.294116
FIRE2:   11 22:05:52    -1070.578491       37.585556
FIRE2:   12 22:05:52    -1070.714844       24.007958
FIRE2:   13 22:05:52    -1070.725830       22.585016
FIRE2:   14 22:05:53    -1070.740845       20.514819
FIRE2:   15 22:05:53    -1070.758057       17.872362
FIRE2:   16 22:05:53    -1070.775635       14.751201
FIRE2:   17 22:05:53    -1070.791504       11.256393
FIRE2:   18 22:05:53    -1070.803955        7.505365
FIRE2:   19 22:05:53    -1070.811768        3.616444
FIRE2:   20 22:05:53    -1070.814209        0.294162
FIRE2:   21 22:05:53    -1070.813965        0.938053
FIRE2:   22 22:05:53    -1070.814087        0.917471
FIRE2:   23 22:05:53    -1070.813965        0.886776
FIRE2:   24 22:05:54    -1070.814087        0.846564
FIRE2:   25 22:05:54    -1070.813965        0.797681
FIRE2:   26 22:05:54    -1070.814087        0.739573
FIRE2:   27 22:05:54    -1070.814087        0.673680
FIRE2:   28 22:05:54    -1070.814209        0.600104
FIRE2:   29 22:05:54    -1070.814209        0.520781
FIRE2:   30 22:05:54    -1070.814209        0.435540
FIRE2:   31 22:05:54    -1070.814209        0.345597
FIRE2:   32 22:05:54    -1070.814209        0.251682
FIRE2:   33 22:05:54    -1070.814209        0.155360
FIRE2:   34 22:05:54    -1070.814209        0.057633
FIRE2:   35 22:05:55    -1070.814209        0.041487
FIRE2:   36 22:05:55    -1070.814209        0.008546
FIRE2:   37 22:05:55    -1070.814209        0.008059
FIRE2:   38 22:05:55    -1070.814209        0.007334
FIRE2:   39 22:05:55    -1070.814209        0.007164
FIRE2:   40 22:05:55    -1070.814209        0.006696
FIRE2:   41 22:05:55    -1070.814209        0.006144
FIRE2:   42 22:05:55    -1070.814209        0.005617
FIRE2:   43 22:05:55    -1070.814209        0.004886
FIRE2:   44 22:05:56    -1070.814209        0.004385
FIRE2:   45 22:05:56    -1070.814209        0.004061
FIRE2:   46 22:05:56    -1070.814209        0.002850
FIRE2:   47 22:05:56    -1070.814209        0.001859
FIRE2:   48 22:05:56    -1070.814209        0.001165
FIRE2:   49 22:05:56    -1070.814209        0.000339
