       Step     Time          Energy          fmax
FIRE2:    0 16:52:51    -1070.657959       30.333887
FIRE2:    1 16:52:51     -973.982544     1444.212315
FIRE2:    2 16:52:51    -1059.162598      275.965473
FIRE2:    3 16:52:51    -1070.207764       61.792230
FIRE2:    4 16:52:52    -1070.814209        0.500733
FIRE2:    5 16:52:52    -1067.463501       82.245049
FIRE2:    6 16:52:52    -1068.003418       72.138592
FIRE2:    7 16:52:52    -1068.688354       66.709274
FIRE2:    8 16:52:52    -1069.499512       61.709057
FIRE2:    9 16:52:52    -1070.314453       45.023408
FIRE2:   10 16:52:52    -1070.793701       10.295369
FIRE2:   11 16:52:52    -1070.578613       37.582302
FIRE2:   12 16:52:53    -1070.714844       24.005801
FIRE2:   13 16:52:53    -1070.725830       22.582877
FIRE2:   14 16:52:53    -1070.740845       20.513009
FIRE2:   15 16:52:53    -1070.758057       17.871041
FIRE2:   16 16:52:53    -1070.775635       14.749380
FIRE2:   17 16:52:53    -1070.791504       11.255495
FIRE2:   18 16:52:53    -1070.803955        7.504492
FIRE2:   19 16:52:53    -1070.811768        3.615800
FIRE2:   20 16:52:53    -1070.814209        0.294103
FIRE2:   21 16:52:53    -1070.813965        0.938085
FIRE2:   22 16:52:54    -1070.813965        0.917249
FIRE2:   23 16:52:54    -1070.813965        0.886778
FIRE2:   24 16:52:54    -1070.813965        0.846399
FIRE2:   25 16:52:54    -1070.814087        0.797627
FIRE2:   26 16:52:54    -1070.814087        0.739168
FIRE2:   27 16:52:54    -1070.814087        0.673298
FIRE2:   28 16:52:54    -1070.814087        0.600068
FIRE2:   29 16:52:54    -1070.814209        0.520728
FIRE2:   30 16:52:54    -1070.814209        0.435680
FIRE2:   31 16:52:54    -1070.814209        0.345611
FIRE2:   32 16:52:54    -1070.814209        0.251703
FIRE2:   33 16:52:55    -1070.814209        0.155136
FIRE2:   34 16:52:55    -1070.814209        0.057638
FIRE2:   35 16:52:55    -1070.814209        0.041484
FIRE2:   36 16:52:55    -1070.814209        0.008535
FIRE2:   37 16:52:55    -1070.814209        0.008070
FIRE2:   38 16:52:55    -1070.814209        0.007325
FIRE2:   39 16:52:55    -1070.814209        0.007156
FIRE2:   40 16:52:55    -1070.814209        0.006707
FIRE2:   41 16:52:55    -1070.814209        0.006106
FIRE2:   42 16:52:55    -1070.814209        0.005617
FIRE2:   43 16:52:56    -1070.814209        0.004915
FIRE2:   44 16:52:56    -1070.814209        0.004382
FIRE2:   45 16:52:56    -1070.814209        0.004018
FIRE2:   46 16:52:56    -1070.814209        0.002861
FIRE2:   47 16:52:56    -1070.814209        0.001861
FIRE2:   48 16:52:56    -1070.814209        0.001158
FIRE2:   49 16:52:56    -1070.814209        0.000389
FIRE2:   50 16:52:56    -1070.814209        0.000398
FIRE2:   51 16:52:56    -1070.814209        0.000278
FIRE2:   52 16:52:56    -1070.814209        0.000282
FIRE2:   53 16:52:57    -1070.814209        0.000286
FIRE2:   54 16:52:57    -1070.814209        0.000290
FIRE2:   55 16:52:57    -1070.814209        0.000153
FIRE2:   56 16:52:57    -1070.814209        0.000057
