       Step     Time          Energy          fmax
FIRE2:    0 22:06:11    -1070.905762       33.035469
FIRE2:    1 22:06:12     -981.537476      980.936258
FIRE2:    2 22:06:16    -1058.342041      288.904566
FIRE2:    3 22:06:20    -1070.763916       46.525200
FIRE2:    4 22:06:24    -1025.485352      489.691619
FIRE2:    5 22:06:25    -1071.105469        6.870231
FIRE2:    6 22:06:25    -1071.113647        1.169507
FIRE2:    7 22:06:26    -1071.114746        0.751336
FIRE2:    8 22:06:26    -1071.114136        0.592995
FIRE2:    9 22:06:27    -1071.114258        0.354728
FIRE2:   10 22:06:27    -1071.114746        0.073389
FIRE2:   11 22:06:28    -1071.114136        0.204489
FIRE2:   12 22:06:29    -1071.114624        0.137098
FIRE2:   13 22:06:29    -1071.114624        0.128780
FIRE2:   14 22:06:29    -1071.114746        0.122460
FIRE2:   15 22:06:30    -1071.114258        0.097816
FIRE2:   16 22:06:30    -1071.114258        0.077791
FIRE2:   17 22:06:31    -1071.114746        0.067148
FIRE2:   18 22:06:31    -1071.113770        0.032864
FIRE2:   19 22:06:32    -1071.114746        0.028940
FIRE2:   20 22:06:32    -1071.114746        0.004434
FIRE2:   21 22:06:32    -1071.114746        0.013454
FIRE2:   22 22:06:33    -1071.114380        0.015967
FIRE2:   23 22:06:34    -1071.114258        0.017131
FIRE2:   24 22:06:34    -1071.114258        0.016098
FIRE2:   25 22:06:35    -1071.114380        0.015993
FIRE2:   26 22:06:35    -1071.114624        0.007776
FIRE2:   27 22:06:35    -1071.114258        0.015819
FIRE2:   28 22:06:36    -1071.114258        0.014435
FIRE2:   29 22:06:36    -1071.114258        0.012914
FIRE2:   30 22:06:37    -1071.114258        0.009647
FIRE2:   31 22:06:37    -1071.113647        0.017748
FIRE2:   32 22:06:37    -1071.114746        0.000638
