       Step     Time          Energy          fmax
FIRE2:    0 01:06:29    -1070.905762       33.035333
FIRE2:    1 01:06:30     -981.537354      980.937653
FIRE2:    2 01:06:31    -1058.342773      288.908638
FIRE2:    3 01:06:34    -1070.763428       46.531212
FIRE2:    4 01:06:39    -1025.486328      489.685526
FIRE2:    5 01:06:39    -1071.105591        6.869770
FIRE2:    6 01:06:39    -1071.114502        1.174265
FIRE2:    7 01:06:40    -1071.114502        0.764465
FIRE2:    8 01:06:40    -1071.114624        0.588996
FIRE2:    9 01:06:40    -1071.115234        0.337241
FIRE2:   10 01:06:40    -1071.114258        0.082663
FIRE2:   11 01:06:41    -1071.113770        0.200066
FIRE2:   12 01:06:41    -1071.114990        0.147135
FIRE2:   13 01:06:41    -1071.114502        0.129815
FIRE2:   14 01:06:41    -1071.114990        0.126269
FIRE2:   15 01:06:42    -1071.114502        0.099597
FIRE2:   16 01:06:42    -1071.114746        0.087020
FIRE2:   17 01:06:42    -1071.113525        0.050107
FIRE2:   18 01:06:42    -1071.113892        0.032933
FIRE2:   19 01:06:43    -1071.115234        0.034052
FIRE2:   20 01:06:43    -1071.114746        0.005131
FIRE2:   21 01:06:43    -1071.114868        0.019684
FIRE2:   22 01:06:44    -1071.115234        0.008174
FIRE2:   23 01:06:44    -1071.115234        0.008174
FIRE2:   24 01:06:44    -1071.114746        0.014777
FIRE2:   25 01:06:44    -1071.114868        0.009105
FIRE2:   26 01:06:45    -1071.114502        0.017007
FIRE2:   27 01:06:45    -1071.114990        0.008797
FIRE2:   28 01:06:45    -1071.114624        0.012428
FIRE2:   29 01:06:45    -1071.113770        0.022681
FIRE2:   30 01:06:45    -1071.114014        0.020235
FIRE2:   31 01:06:46    -1071.113647        0.023815
FIRE2:   32 01:06:46    -1071.114014        0.018898
FIRE2:   33 01:06:46    -1071.114502        0.010033
FIRE2:   34 01:06:46    -1071.114746        0.000917
       Step     Time          Energy          fmax
FIRE2:    0 01:24:54    -1070.905762       33.035451
FIRE2:    1 01:24:55     -981.537354      980.936258
FIRE2:    2 01:24:55    -1058.342285      288.903518
FIRE2:    3 01:24:59    -1070.764404       46.526546
FIRE2:    4 01:25:03    -1025.484619      489.695623
FIRE2:    5 01:25:04    -1071.105957        6.873441
FIRE2:    6 01:25:04    -1071.114258        1.161145
FIRE2:    7 01:25:04    -1071.114014        0.783020
FIRE2:    8 01:25:04    -1071.114258        0.598127
FIRE2:    9 01:25:05    -1071.114624        0.349072
FIRE2:   10 01:25:05    -1071.114380        0.073353
FIRE2:   11 01:25:05    -1071.114624        0.219649
FIRE2:   12 01:25:06    -1071.113525        0.125629
FIRE2:   13 01:25:06    -1071.114258        0.127132
FIRE2:   14 01:25:06    -1071.114014        0.114625
FIRE2:   15 01:25:06    -1071.114746        0.112204
FIRE2:   16 01:25:07    -1071.114990        0.097093
FIRE2:   17 01:25:07    -1071.114990        0.080554
FIRE2:   18 01:25:07    -1071.114258        0.046863
FIRE2:   19 01:25:07    -1071.114380        0.023215
FIRE2:   20 01:25:07    -1071.114746        0.006293
FIRE2:   21 01:25:08    -1071.114014        0.032073
FIRE2:   22 01:25:08    -1071.114258        0.016313
FIRE2:   23 01:25:08    -1071.114624        0.011686
FIRE2:   24 01:25:09    -1071.114258        0.017206
FIRE2:   25 01:25:09    -1071.114624        0.009539
FIRE2:   26 01:25:09    -1071.114258        0.017520
FIRE2:   27 01:25:09    -1071.114014        0.017539
FIRE2:   28 01:25:10    -1071.114258        0.011061
FIRE2:   29 01:25:10    -1071.114136        0.013927
FIRE2:   30 01:25:10    -1071.114258        0.010050
FIRE2:   31 01:25:10    -1071.114014        0.013643
FIRE2:   32 01:25:10    -1071.114258        0.007895
FIRE2:   33 01:25:11    -1071.114380        0.002207
FIRE2:   34 01:25:11    -1071.115234        0.011702
FIRE2:   35 01:25:11    -1071.114990        0.010426
FIRE2:   36 01:25:12    -1071.114624        0.002903
FIRE2:   37 01:25:12    -1071.114746        0.004637
FIRE2:   38 01:25:12    -1071.114502        0.002619
FIRE2:   39 01:25:12    -1071.114380        0.001744
FIRE2:   40 01:25:13    -1071.113892        0.010097
FIRE2:   41 01:25:13    -1071.114258        0.001621
FIRE2:   42 01:25:13    -1071.114258        0.001621
FIRE2:   43 01:25:13    -1071.114624        0.003345
FIRE2:   44 01:25:14    -1071.114502        0.001720
FIRE2:   45 01:25:14    -1071.114380        0.001677
FIRE2:   46 01:25:14    -1071.114624        0.003377
FIRE2:   47 01:25:15    -1071.114624        0.003321
FIRE2:   48 01:25:15    -1071.114624        0.003309
FIRE2:   49 01:25:15    -1071.114014        0.007440
FIRE2:   50 01:25:15    -1071.114624        0.003380
FIRE2:   51 01:25:16    -1071.114502        0.001064
FIRE2:   52 01:25:16    -1071.114502        0.001044
FIRE2:   53 01:25:16    -1071.114014        0.009045
FIRE2:   54 01:25:17    -1071.114502        0.001028
FIRE2:   55 01:25:17    -1071.114502        0.001039
FIRE2:   56 01:25:17    -1071.114502        0.001020
FIRE2:   57 01:25:17    -1071.114014        0.009127
FIRE2:   58 01:25:18    -1071.114502        0.001041
FIRE2:   59 01:25:18    -1071.114502        0.000955
