       Step     Time          Energy          fmax
FIRE2:    0 01:05:00    -1074.542969        0.223019
       Step     Time          Energy          fmax
FIRE2:    0 01:06:48    -1074.542969        0.223019
FIRE2:    1 01:06:56    -1074.544434        0.222630
FIRE2:    2 01:06:59    -1074.547363        0.221880
FIRE2:    3 01:07:02    -1074.551880        0.220753
FIRE2:    4 01:07:05    -1074.557617        0.219268
FIRE2:    5 01:07:07    -1074.564941        0.217404
FIRE2:    6 01:07:10    -1074.573486        0.215141
FIRE2:    7 01:07:13    -1074.583496        0.212541
FIRE2:    8 01:07:16    -1074.594482        0.209537
FIRE2:    9 01:07:19    -1074.606689        0.206194
FIRE2:   10 01:07:22    -1074.619995        0.202509
FIRE2:   11 01:07:25    -1074.634277        0.198422
FIRE2:   12 01:07:28    -1074.649414        0.193982
FIRE2:   13 01:07:30    -1074.665283        0.189199
FIRE2:   14 01:07:33    -1074.681885        0.184057
FIRE2:   15 01:07:36    -1074.698853        0.178575
FIRE2:   16 01:07:39    -1074.716309        0.172742
FIRE2:   17 01:07:42    -1074.734131        0.166601
FIRE2:   18 01:07:45    -1074.751953        0.160090
FIRE2:   19 01:07:47    -1074.769775        0.153268
FIRE2:   20 01:07:50    -1074.787842        0.146121
FIRE2:   21 01:07:53    -1074.805420        0.138659
FIRE2:   22 01:07:56    -1074.824463        0.130086
FIRE2:   23 01:07:59    -1074.844482        0.120217
FIRE2:   24 01:08:02    -1074.865356        0.108848
FIRE2:   25 01:08:05    -1074.886719        0.095766
FIRE2:   26 01:08:07    -1074.907471        0.080730
FIRE2:   27 01:08:10    -1074.926880        0.063438
FIRE2:   28 01:08:13    -1074.942993        0.043593
FIRE2:   29 01:08:16    -1074.953857        0.020927
FIRE2:   30 01:08:19    -1074.957153        0.002828
FIRE2:   31 01:08:23    -1074.957031        0.003659
FIRE2:   32 01:08:26    -1074.957031        0.003640
FIRE2:   33 01:08:29    -1074.957031        0.003600
FIRE2:   34 01:08:32    -1074.957031        0.003558
FIRE2:   35 01:08:35    -1074.957031        0.003516
FIRE2:   36 01:08:38    -1074.957031        0.003450
FIRE2:   37 01:08:41    -1074.957031        0.003377
FIRE2:   38 01:08:43    -1074.957031        0.003284
FIRE2:   39 01:08:46    -1074.957031        0.003206
FIRE2:   40 01:08:49    -1074.957031        0.003100
FIRE2:   41 01:08:52    -1074.957031        0.002992
FIRE2:   42 01:08:55    -1074.957275        0.002864
FIRE2:   43 01:08:58    -1074.957031        0.002768
FIRE2:   44 01:09:01    -1074.957031        0.002619
FIRE2:   45 01:09:03    -1074.957031        0.002472
FIRE2:   46 01:09:06    -1074.957275        0.002316
FIRE2:   47 01:09:09    -1074.957031        0.002171
FIRE2:   48 01:09:12    -1074.957275        0.002002
FIRE2:   49 01:09:15    -1074.957031        0.001841
FIRE2:   50 01:09:18    -1074.957275        0.001667
FIRE2:   51 01:09:21    -1074.957275        0.001482
FIRE2:   52 01:09:23    -1074.957031        0.001283
FIRE2:   53 01:09:26    -1074.957153        0.001071
FIRE2:   54 01:09:29    -1074.957275        0.000812
       Step     Time          Energy          fmax
FIRE2:    0 01:21:17    -1074.542969        0.223019
FIRE2:    1 01:21:25    -1074.544434        0.222630
FIRE2:    2 01:21:27    -1074.547363        0.221880
FIRE2:    3 01:21:30    -1074.551758        0.220753
FIRE2:    4 01:21:33    -1074.557617        0.219268
FIRE2:    5 01:21:35    -1074.564941        0.217403
FIRE2:    6 01:21:38    -1074.573486        0.215141
FIRE2:    7 01:21:41    -1074.583496        0.212541
FIRE2:    8 01:21:43    -1074.594482        0.209537
FIRE2:    9 01:21:46    -1074.606689        0.206194
FIRE2:   10 01:21:49    -1074.619995        0.202509
FIRE2:   11 01:21:51    -1074.634399        0.198422
FIRE2:   12 01:21:54    -1074.649414        0.193982
FIRE2:   13 01:21:57    -1074.665283        0.189199
FIRE2:   14 01:21:59    -1074.681885        0.184057
FIRE2:   15 01:22:02    -1074.698853        0.178575
FIRE2:   16 01:22:05    -1074.716309        0.172742
FIRE2:   17 01:22:07    -1074.734131        0.166601
FIRE2:   18 01:22:10    -1074.751953        0.160090
FIRE2:   19 01:22:13    -1074.769897        0.153268
FIRE2:   20 01:22:15    -1074.787842        0.146121
FIRE2:   21 01:22:18    -1074.805420        0.138659
FIRE2:   22 01:22:21    -1074.824463        0.130086
FIRE2:   23 01:22:23    -1074.844482        0.120217
FIRE2:   24 01:22:26    -1074.865356        0.108848
FIRE2:   25 01:22:29    -1074.886719        0.095766
FIRE2:   26 01:22:31    -1074.907471        0.080730
FIRE2:   27 01:22:34    -1074.926880        0.063438
FIRE2:   28 01:22:37    -1074.942993        0.043593
FIRE2:   29 01:22:39    -1074.953857        0.020927
FIRE2:   30 01:22:42    -1074.957153        0.002828
FIRE2:   31 01:22:46    -1074.957031        0.003653
FIRE2:   32 01:22:49    -1074.957031        0.003640
FIRE2:   33 01:22:52    -1074.957031        0.003600
FIRE2:   34 01:22:54    -1074.957031        0.003558
FIRE2:   35 01:22:57    -1074.957031        0.003515
FIRE2:   36 01:23:00    -1074.957031        0.003450
FIRE2:   37 01:23:02    -1074.957031        0.003377
FIRE2:   38 01:23:05    -1074.957031        0.003284
FIRE2:   39 01:23:08    -1074.957153        0.003206
FIRE2:   40 01:23:10    -1074.957031        0.003100
FIRE2:   41 01:23:13    -1074.957031        0.002995
FIRE2:   42 01:23:15    -1074.957275        0.002864
FIRE2:   43 01:23:18    -1074.957031        0.002768
FIRE2:   44 01:23:21    -1074.957031        0.002619
FIRE2:   45 01:23:24    -1074.957031        0.002472
FIRE2:   46 01:23:26    -1074.957275        0.002316
FIRE2:   47 01:23:29    -1074.957153        0.002174
FIRE2:   48 01:23:32    -1074.957275        0.002002
FIRE2:   49 01:23:34    -1074.957031        0.001841
FIRE2:   50 01:23:37    -1074.957275        0.001667
FIRE2:   51 01:23:40    -1074.957275        0.001482
FIRE2:   52 01:23:42    -1074.957031        0.001283
FIRE2:   53 01:23:45    -1074.957153        0.001071
FIRE2:   54 01:23:47    -1074.957031        0.000813
       Step     Time          Energy          fmax
FIRE2:    0 01:29:45    -1074.542969        0.223019
FIRE2:    1 01:29:58    -1074.544434        0.222630
FIRE2:    2 01:30:02    -1074.547363        0.221880
FIRE2:    3 01:30:05    -1074.551880        0.220753
FIRE2:    4 01:30:09    -1074.557617        0.219268
FIRE2:    5 01:30:12    -1074.564941        0.217403
FIRE2:    6 01:30:16    -1074.573486        0.215141
FIRE2:    7 01:30:19    -1074.583496        0.212541
FIRE2:    8 01:30:23    -1074.594482        0.209538
FIRE2:    9 01:30:27    -1074.606689        0.206194
FIRE2:   10 01:30:30    -1074.619873        0.202509
FIRE2:   11 01:30:34    -1074.634399        0.198422
FIRE2:   12 01:30:38    -1074.649414        0.193982
FIRE2:   13 01:30:41    -1074.665283        0.189199
FIRE2:   14 01:30:45    -1074.681885        0.184057
FIRE2:   15 01:30:49    -1074.698730        0.178575
FIRE2:   16 01:30:52    -1074.716309        0.172742
FIRE2:   17 01:30:56    -1074.734131        0.166601
FIRE2:   18 01:30:59    -1074.751953        0.160090
FIRE2:   19 01:31:03    -1074.769897        0.153268
FIRE2:   20 01:31:07    -1074.787842        0.146121
FIRE2:   21 01:31:10    -1074.805420        0.138659
FIRE2:   22 01:31:14    -1074.824463        0.130086
FIRE2:   23 01:31:17    -1074.844482        0.120217
FIRE2:   24 01:31:21    -1074.865356        0.108848
FIRE2:   25 01:31:24    -1074.886719        0.095766
FIRE2:   26 01:31:28    -1074.907471        0.080730
FIRE2:   27 01:31:32    -1074.926880        0.063438
FIRE2:   28 01:31:35    -1074.942993        0.043593
FIRE2:   29 01:31:39    -1074.953857        0.020927
FIRE2:   30 01:31:42    -1074.957153        0.002828
FIRE2:   31 01:31:48    -1074.957031        0.003659
FIRE2:   32 01:31:52    -1074.957031        0.003640
FIRE2:   33 01:31:56    -1074.957031        0.003600
FIRE2:   34 01:31:59    -1074.957031        0.003558
FIRE2:   35 01:32:03    -1074.957031        0.003515
FIRE2:   36 01:32:06    -1074.957031        0.003450
FIRE2:   37 01:32:10    -1074.957031        0.003377
FIRE2:   38 01:32:14    -1074.957031        0.003284
FIRE2:   39 01:32:17    -1074.957153        0.003206
FIRE2:   40 01:32:21    -1074.957031        0.003100
FIRE2:   41 01:32:25    -1074.957031        0.002992
FIRE2:   42 01:32:29    -1074.957275        0.002864
FIRE2:   43 01:32:32    -1074.957031        0.002768
FIRE2:   44 01:32:36    -1074.957031        0.002619
FIRE2:   45 01:32:40    -1074.957031        0.002472
FIRE2:   46 01:32:44    -1074.957275        0.002316
FIRE2:   47 01:32:48    -1074.957031        0.002171
FIRE2:   48 01:32:51    -1074.957275        0.002002
FIRE2:   49 01:32:55    -1074.957031        0.001841
FIRE2:   50 01:32:59    -1074.957275        0.001667
FIRE2:   51 01:33:03    -1074.957275        0.001482
FIRE2:   52 01:33:06    -1074.957031        0.001283
FIRE2:   53 01:33:10    -1074.957153        0.001071
FIRE2:   54 01:33:14    -1074.957153        0.000812
