       Step     Time          Energy          fmax
FIRE2:    0 01:11:03    -1065.198486        0.112996
FIRE2:    1 01:11:09    -1065.202148        0.103856
FIRE2:    2 01:11:09    -1065.208496        0.090866
FIRE2:    3 01:11:09    -1065.215820        0.076175
FIRE2:    4 01:11:09    -1065.222656        0.057470
FIRE2:    5 01:11:09    -1065.227295        0.035363
FIRE2:    6 01:11:10    -1065.229492        0.017326
FIRE2:    7 01:11:10    -1065.229736        0.025349
FIRE2:    8 01:11:10    -1065.229980        0.022909
FIRE2:    9 01:11:11    -1065.229980        0.022013
FIRE2:   10 01:11:11    -1065.229980        0.020702
FIRE2:   11 01:11:11    -1065.230103        0.018993
FIRE2:   12 01:11:11    -1065.230225        0.016913
FIRE2:   13 01:11:11    -1065.230225        0.014534
FIRE2:   14 01:11:12    -1065.230347        0.012092
FIRE2:   15 01:11:12    -1065.230347        0.012021
FIRE2:   16 01:11:12    -1065.230469        0.011931
FIRE2:   17 01:11:12    -1065.230469        0.011824
FIRE2:   18 01:11:13    -1065.230469        0.011697
FIRE2:   19 01:11:13    -1065.230713        0.011550
FIRE2:   20 01:11:13    -1065.230469        0.011396
FIRE2:   21 01:11:13    -1065.230713        0.011239
FIRE2:   22 01:11:13    -1065.230591        0.011088
FIRE2:   23 01:11:14    -1065.230713        0.010937
FIRE2:   24 01:11:14    -1065.230713        0.010786
FIRE2:   25 01:11:14    -1065.230713        0.010630
FIRE2:   26 01:11:14    -1065.230713        0.010467
FIRE2:   27 01:11:14    -1065.230713        0.010298
FIRE2:   28 01:11:15    -1065.230713        0.010118
FIRE2:   29 01:11:15    -1065.230835        0.009915
FIRE2:   30 01:11:15    -1065.230957        0.009684
FIRE2:   31 01:11:15    -1065.230957        0.009418
FIRE2:   32 01:11:16    -1065.230957        0.009117
FIRE2:   33 01:11:16    -1065.230957        0.008772
FIRE2:   34 01:11:16    -1065.230957        0.008383
FIRE2:   35 01:11:16    -1065.231079        0.007941
FIRE2:   36 01:11:16    -1065.231201        0.007441
FIRE2:   37 01:11:17    -1065.231201        0.006870
FIRE2:   38 01:11:17    -1065.231323        0.006218
FIRE2:   39 01:11:17    -1065.231445        0.005472
FIRE2:   40 01:11:17    -1065.231445        0.004621
FIRE2:   41 01:11:17    -1065.231445        0.003662
FIRE2:   42 01:11:18    -1065.231567        0.002582
FIRE2:   43 01:11:18    -1065.231445        0.001375
FIRE2:   44 01:11:18    -1065.231567        0.003965
FIRE2:   45 01:11:19    -1065.231567        0.002306
FIRE2:   46 01:11:19    -1065.231567        0.001416
FIRE2:   47 01:11:19    -1065.231567        0.000462
       Step     Time          Energy          fmax
FIRE2:    0 01:25:16    -1065.198486        0.112996
FIRE2:    1 01:25:21    -1065.202148        0.103848
FIRE2:    2 01:25:21    -1065.208496        0.090868
FIRE2:    3 01:25:22    -1065.215820        0.076182
FIRE2:    4 01:25:22    -1065.222656        0.057471
FIRE2:    5 01:25:22    -1065.227295        0.035361
FIRE2:    6 01:25:22    -1065.229492        0.017325
FIRE2:    7 01:25:23    -1065.229736        0.025352
FIRE2:    8 01:25:23    -1065.229980        0.022909
FIRE2:    9 01:25:23    -1065.229980        0.022022
FIRE2:   10 01:25:23    -1065.229980        0.020705
FIRE2:   11 01:25:24    -1065.230103        0.018991
FIRE2:   12 01:25:24    -1065.230225        0.016915
FIRE2:   13 01:25:24    -1065.230225        0.014537
FIRE2:   14 01:25:24    -1065.230347        0.012092
FIRE2:   15 01:25:24    -1065.230347        0.012022
FIRE2:   16 01:25:25    -1065.230469        0.011931
FIRE2:   17 01:25:25    -1065.230469        0.011824
FIRE2:   18 01:25:25    -1065.230469        0.011697
FIRE2:   19 01:25:25    -1065.230713        0.011550
FIRE2:   20 01:25:26    -1065.230713        0.011396
FIRE2:   21 01:25:26    -1065.230591        0.011240
FIRE2:   22 01:25:26    -1065.230591        0.011088
FIRE2:   23 01:25:26    -1065.230713        0.010937
FIRE2:   24 01:25:26    -1065.230713        0.010786
FIRE2:   25 01:25:27    -1065.230713        0.010631
FIRE2:   26 01:25:27    -1065.230713        0.010467
FIRE2:   27 01:25:27    -1065.230835        0.010298
FIRE2:   28 01:25:27    -1065.230835        0.010118
FIRE2:   29 01:25:27    -1065.230835        0.009915
