       Step     Time          Energy          fmax
FIRE2:    0 17:47:01    -1081.934326        0.181922
FIRE2:    1 17:47:06    -1081.935425        0.181633
FIRE2:    2 17:47:09    -1081.937378        0.181051
FIRE2:    3 17:47:11    -1081.940186        0.180177
FIRE2:    4 17:47:14    -1081.944214        0.179018
FIRE2:    5 17:47:16    -1081.948975        0.177571
FIRE2:    6 17:47:19    -1081.954834        0.175837
FIRE2:    7 17:47:21    -1081.961304        0.173824
FIRE2:    8 17:47:24    -1081.968750        0.171535
FIRE2:    9 17:47:26    -1081.977051        0.168972
FIRE2:   10 17:47:29    -1081.985840        0.166136
FIRE2:   11 17:47:31    -1081.995361        0.163035
FIRE2:   12 17:47:34    -1082.005615        0.159673
FIRE2:   13 17:47:36    -1082.016357        0.156056
FIRE2:   14 17:47:39    -1082.027466        0.152187
FIRE2:   15 17:47:41    -1082.039062        0.148068
FIRE2:   16 17:47:44    -1082.051025        0.143713
FIRE2:   17 17:47:46    -1082.063110        0.139125
FIRE2:   18 17:47:49    -1082.075439        0.134305
FIRE2:   19 17:47:51    -1082.087646        0.129262
FIRE2:   20 17:47:54    -1082.100098        0.124004
FIRE2:   21 17:47:57    -1082.112549        0.118537
FIRE2:   22 17:48:00    -1082.125977        0.112276
FIRE2:   23 17:48:02    -1082.140381        0.105101
FIRE2:   24 17:48:05    -1082.155518        0.096873
FIRE2:   25 17:48:07    -1082.171509        0.087440
FIRE2:   26 17:48:10    -1082.187744        0.076621
FIRE2:   27 17:48:12    -1082.203491        0.064225
FIRE2:   28 17:48:15    -1082.217896        0.050034
FIRE2:   29 17:48:17    -1082.229980        0.033828
FIRE2:   30 17:48:20    -1082.237793        0.015379
FIRE2:   31 17:48:22    -1082.239502        0.005000
FIRE2:   32 17:48:26    -1082.239868        0.000271
