       Step     Time          Energy          fmax
FIRE2:    0 21:56:24    -1081.934326       40.332461
FIRE2:    1 21:56:25     -972.168213     1275.676061
FIRE2:    2 21:56:29    -1061.016968      395.955359
FIRE2:    3 21:56:32    -1080.571655      118.973808
FIRE2:    4 21:56:32    -1037.635864      532.798021
FIRE2:    5 21:56:32    -1081.773682       56.853081
FIRE2:    6 21:56:32    -1055.032471      439.632660
FIRE2:    7 21:56:32    -1072.184082      279.221016
FIRE2:    8 21:56:32    -1077.482544      182.943626
FIRE2:    9 21:56:32    -1081.259277       73.311430
FIRE2:   10 21:56:33    -1082.171265       20.460685
FIRE2:   11 21:56:33    -1082.236084        4.591722
FIRE2:   12 21:56:33    -1082.236450        4.334126
FIRE2:   13 21:56:33    -1082.237061        3.957242
FIRE2:   14 21:56:33    -1082.237671        3.469427
FIRE2:   15 21:56:33    -1082.238281        2.885076
FIRE2:   16 21:56:33    -1082.239014        2.217974
FIRE2:   17 21:56:33    -1082.239502        1.487551
FIRE2:   18 21:56:33    -1082.239746        0.712386
FIRE2:   19 21:56:33    -1082.239746        0.084838
FIRE2:   20 21:56:33    -1082.239746        0.168690
FIRE2:   21 21:56:33    -1082.239746        0.165107
FIRE2:   22 21:56:33    -1082.239746        0.158821
FIRE2:   23 21:56:34    -1082.239868        0.151427
FIRE2:   24 21:56:34    -1082.239746        0.141936
FIRE2:   25 21:56:34    -1082.239746        0.130762
FIRE2:   26 21:56:34    -1082.239746        0.118374
FIRE2:   27 21:56:34    -1082.239746        0.103788
FIRE2:   28 21:56:34    -1082.239746        0.089090
FIRE2:   29 21:56:34    -1082.239868        0.073257
FIRE2:   30 21:56:34    -1082.239868        0.056291
FIRE2:   31 21:56:34    -1082.239746        0.038487
FIRE2:   32 21:56:34    -1082.239868        0.020352
FIRE2:   33 21:56:34    -1082.239868        0.002401
FIRE2:   34 21:56:34    -1082.239868        0.016067
FIRE2:   35 21:56:34    -1082.239746        0.006735
FIRE2:   36 21:56:34    -1082.239746        0.006727
FIRE2:   37 21:56:34    -1082.239868        0.005863
FIRE2:   38 21:56:35    -1082.239746        0.005870
FIRE2:   39 21:56:35    -1082.239746        0.005909
FIRE2:   40 21:56:35    -1082.239746        0.005678
FIRE2:   41 21:56:35    -1082.239868        0.004628
FIRE2:   42 21:56:35    -1082.239746        0.004485
FIRE2:   43 21:56:35    -1082.239746        0.003768
FIRE2:   44 21:56:35    -1082.239746        0.003438
FIRE2:   45 21:56:35    -1082.239746        0.001818
FIRE2:   46 21:56:35    -1082.239746        0.001324
FIRE2:   47 21:56:35    -1082.239746        0.000987
