       Step     Time          Energy          fmax
FIRE2:    0 17:48:33    -1071.600830        0.266475
FIRE2:    1 17:48:35    -1071.606689        0.247765
FIRE2:    2 17:48:35    -1071.616943        0.212037
FIRE2:    3 17:48:35    -1071.628662        0.162584
FIRE2:    4 17:48:36    -1071.638916        0.104183
FIRE2:    5 17:48:36    -1071.645752        0.043500
FIRE2:    6 17:48:36    -1071.648438        0.022085
FIRE2:    7 17:48:36    -1071.648560        0.037397
FIRE2:    8 17:48:36    -1071.648926        0.029624
FIRE2:    9 17:48:36    -1071.648926        0.028425
FIRE2:   10 17:48:36    -1071.648926        0.026657
FIRE2:   11 17:48:36    -1071.649170        0.024359
FIRE2:   12 17:48:36    -1071.649292        0.021583
FIRE2:   13 17:48:36    -1071.649414        0.018391
FIRE2:   14 17:48:36    -1071.649414        0.014860
FIRE2:   15 17:48:36    -1071.649536        0.011080
FIRE2:   16 17:48:36    -1071.649658        0.007176
FIRE2:   17 17:48:36    -1071.649658        0.003345
FIRE2:   18 17:48:36    -1071.649658        0.003150
FIRE2:   19 17:48:36    -1071.649658        0.002484
FIRE2:   20 17:48:36    -1071.649658        0.002636
FIRE2:   21 17:48:36    -1071.649658        0.002607
FIRE2:   22 17:48:37    -1071.649658        0.002563
FIRE2:   23 17:48:37    -1071.649658        0.002505
FIRE2:   24 17:48:37    -1071.649658        0.002433
FIRE2:   25 17:48:37    -1071.649658        0.002349
FIRE2:   26 17:48:37    -1071.649658        0.002251
FIRE2:   27 17:48:37    -1071.649658        0.002143
FIRE2:   28 17:48:37    -1071.649658        0.002020
FIRE2:   29 17:48:37    -1071.649658        0.001889
FIRE2:   30 17:48:37    -1071.649658        0.001747
FIRE2:   31 17:48:37    -1071.649658        0.001596
FIRE2:   32 17:48:37    -1071.649658        0.001485
FIRE2:   33 17:48:37    -1071.649658        0.001481
FIRE2:   34 17:48:37    -1071.649658        0.001477
FIRE2:   35 17:48:37    -1071.649658        0.001472
FIRE2:   36 17:48:37    -1071.649658        0.001468
FIRE2:   37 17:48:37    -1071.649658        0.001463
FIRE2:   38 17:48:37    -1071.649658        0.001457
FIRE2:   39 17:48:37    -1071.649658        0.001450
FIRE2:   40 17:48:37    -1071.649658        0.001443
FIRE2:   41 17:48:38    -1071.649658        0.001434
FIRE2:   42 17:48:38    -1071.649658        0.001424
FIRE2:   43 17:48:38    -1071.649658        0.001413
FIRE2:   44 17:48:38    -1071.649658        0.001400
FIRE2:   45 17:48:38    -1071.649658        0.001386
FIRE2:   46 17:48:38    -1071.649658        0.001370
FIRE2:   47 17:48:38    -1071.649658        0.001351
FIRE2:   48 17:48:38    -1071.649658        0.001331
FIRE2:   49 17:48:38    -1071.649658        0.001307
FIRE2:   50 17:48:38    -1071.649658        0.001279
FIRE2:   51 17:48:38    -1071.649658        0.001248
FIRE2:   52 17:48:38    -1071.649658        0.001212
FIRE2:   53 17:48:38    -1071.649658        0.001171
FIRE2:   54 17:48:38    -1071.649658        0.001124
FIRE2:   55 17:48:38    -1071.649658        0.001071
FIRE2:   56 17:48:38    -1071.649658        0.001010
FIRE2:   57 17:48:38    -1071.649658        0.000940
