       Step     Time          Energy          fmax
FIRE2:    0 17:05:14    -1060.176514        0.263600
FIRE2:    1 17:05:19    -1060.178467        0.262536
FIRE2:    2 17:05:21    -1060.182617        0.260399
FIRE2:    3 17:05:24    -1060.188721        0.257212
FIRE2:    4 17:05:26    -1060.196777        0.252983
FIRE2:    5 17:05:29    -1060.206543        0.247728
FIRE2:    6 17:05:31    -1060.217773        0.241463
FIRE2:    7 17:05:34    -1060.230469        0.234214
FIRE2:    8 17:05:36    -1060.244507        0.226011
FIRE2:    9 17:05:39    -1060.259399        0.216886
FIRE2:   10 17:05:41    -1060.275024        0.206874
FIRE2:   11 17:05:43    -1060.291260        0.196011
FIRE2:   12 17:05:46    -1060.307617        0.184349
FIRE2:   13 17:05:48    -1060.323853        0.171929
FIRE2:   14 17:05:51    -1060.339844        0.158801
FIRE2:   15 17:05:53    -1060.355225        0.145015
FIRE2:   16 17:05:55    -1060.369873        0.130635
FIRE2:   17 17:05:58    -1060.383301        0.115729
FIRE2:   18 17:06:00    -1060.395508        0.100339
FIRE2:   19 17:06:03    -1060.406250        0.084533
FIRE2:   20 17:06:05    -1060.415283        0.068387
FIRE2:   21 17:06:07    -1060.422607        0.051961
FIRE2:   22 17:06:10    -1060.428467        0.033647
FIRE2:   23 17:06:12    -1060.431885        0.013302
FIRE2:   24 17:06:14    -1060.432129        0.009153
FIRE2:   25 17:06:18    -1060.432495        0.003532
FIRE2:   26 17:06:21    -1060.432495        0.003524
FIRE2:   27 17:06:23    -1060.432617        0.003504
FIRE2:   28 17:06:25    -1060.432617        0.003478
FIRE2:   29 17:06:28    -1060.432495        0.003443
FIRE2:   30 17:06:30    -1060.432617        0.003411
FIRE2:   31 17:06:32    -1060.432617        0.003365
FIRE2:   32 17:06:35    -1060.432617        0.003313
FIRE2:   33 17:06:37    -1060.432617        0.003258
FIRE2:   34 17:06:39    -1060.432617        0.003197
FIRE2:   35 17:06:42    -1060.432495        0.003127
FIRE2:   36 17:06:44    -1060.432617        0.003053
FIRE2:   37 17:06:46    -1060.432617        0.002973
FIRE2:   38 17:06:49    -1060.432617        0.002892
FIRE2:   39 17:06:51    -1060.432495        0.002802
FIRE2:   40 17:06:53    -1060.432617        0.002707
FIRE2:   41 17:06:56    -1060.432617        0.002607
FIRE2:   42 17:06:58    -1060.432495        0.002500
FIRE2:   43 17:07:00    -1060.432617        0.002391
FIRE2:   44 17:07:03    -1060.432495        0.002280
FIRE2:   45 17:07:05    -1060.432617        0.002164
FIRE2:   46 17:07:07    -1060.432495        0.002030
FIRE2:   47 17:07:10    -1060.432617        0.001879
FIRE2:   48 17:07:12    -1060.432617        0.001704
FIRE2:   49 17:07:14    -1060.432617        0.001507
FIRE2:   50 17:07:17    -1060.432617        0.001286
FIRE2:   51 17:07:19    -1060.432617        0.001027
FIRE2:   52 17:07:21    -1060.432617        0.000742
       Step     Time          Energy          fmax
FIRE2:    0 17:09:40    -1060.176514        0.263600
FIRE2:    1 17:09:45    -1060.178467        0.262536
FIRE2:    2 17:09:47    -1060.182617        0.260399
FIRE2:    3 17:09:50    -1060.188721        0.257212
FIRE2:    4 17:09:52    -1060.196777        0.252983
FIRE2:    5 17:09:55    -1060.206543        0.247728
FIRE2:    6 17:09:57    -1060.217773        0.241463
FIRE2:    7 17:10:00    -1060.230469        0.234214
FIRE2:    8 17:10:02    -1060.244507        0.226011
FIRE2:    9 17:10:04    -1060.259399        0.216886
FIRE2:   10 17:10:07    -1060.275024        0.206874
FIRE2:   11 17:10:09    -1060.291260        0.196011
FIRE2:   12 17:10:12    -1060.307617        0.184349
FIRE2:   13 17:10:14    -1060.323853        0.171929
       Step     Time          Energy          fmax
FIRE2:    0 17:11:27    -1060.176514        0.263600
FIRE2:    1 17:11:32    -1060.178467        0.262536
FIRE2:    2 17:11:34    -1060.182617        0.260399
FIRE2:    3 17:11:37    -1060.188721        0.257212
FIRE2:    4 17:11:39    -1060.196777        0.252983
FIRE2:    5 17:11:42    -1060.206543        0.247728
FIRE2:    6 17:11:44    -1060.217773        0.241463
FIRE2:    7 17:11:47    -1060.230469        0.234214
FIRE2:    8 17:11:49    -1060.244507        0.226011
FIRE2:    9 17:11:52    -1060.259399        0.216886
FIRE2:   10 17:11:54    -1060.275024        0.206874
FIRE2:   11 17:11:57    -1060.291260        0.196011
FIRE2:   12 17:11:59    -1060.307617        0.184349
FIRE2:   13 17:12:02    -1060.323730        0.171929
FIRE2:   14 17:12:04    -1060.339844        0.158801
FIRE2:   15 17:12:06    -1060.355225        0.145015
FIRE2:   16 17:12:09    -1060.369873        0.130635
FIRE2:   17 17:12:11    -1060.383301        0.115729
FIRE2:   18 17:12:14    -1060.395508        0.100339
FIRE2:   19 17:12:16    -1060.406250        0.084533
FIRE2:   20 17:12:19    -1060.415283        0.068387
FIRE2:   21 17:12:21    -1060.422607        0.051962
FIRE2:   22 17:12:24    -1060.428467        0.033647
FIRE2:   23 17:12:26    -1060.431885        0.013302
FIRE2:   24 17:12:29    -1060.432129        0.009153
FIRE2:   25 17:12:33    -1060.432495        0.003532
FIRE2:   26 17:12:35    -1060.432495        0.003524
FIRE2:   27 17:12:38    -1060.432617        0.003504
FIRE2:   28 17:12:40    -1060.432617        0.003478
FIRE2:   29 17:12:43    -1060.432495        0.003443
FIRE2:   30 17:12:45    -1060.432617        0.003411
FIRE2:   31 17:12:47    -1060.432617        0.003365
FIRE2:   32 17:12:50    -1060.432617        0.003313
FIRE2:   33 17:12:52    -1060.432617        0.003258
FIRE2:   34 17:12:55    -1060.432617        0.003197
FIRE2:   35 17:12:57    -1060.432495        0.003127
FIRE2:   36 17:13:00    -1060.432617        0.003053
FIRE2:   37 17:13:02    -1060.432617        0.002973
FIRE2:   38 17:13:04    -1060.432617        0.002892
FIRE2:   39 17:13:07    -1060.432495        0.002802
FIRE2:   40 17:13:09    -1060.432617        0.002707
FIRE2:   41 17:13:12    -1060.432617        0.002607
FIRE2:   42 17:13:14    -1060.432495        0.002500
FIRE2:   43 17:13:17    -1060.432617        0.002392
FIRE2:   44 17:13:19    -1060.432495        0.002280
FIRE2:   45 17:13:21    -1060.432617        0.002164
FIRE2:   46 17:13:24    -1060.432495        0.002030
FIRE2:   47 17:13:26    -1060.432617        0.001879
FIRE2:   48 17:13:29    -1060.432617        0.001704
FIRE2:   49 17:13:31    -1060.432617        0.001507
FIRE2:   50 17:13:34    -1060.432617        0.001286
FIRE2:   51 17:13:36    -1060.432617        0.001027
FIRE2:   52 17:13:39    -1060.432617        0.000742
