       Step     Time          Energy          fmax
FIRE2:    0 21:56:24    -1060.176514       58.440867
FIRE2:    1 21:56:25     -952.932617     1593.153694
FIRE2:    2 21:56:30    -1010.218262      511.741503
FIRE2:    3 21:56:30    -1060.337891       35.517258
FIRE2:    4 21:56:30    -1060.432495        0.971697
FIRE2:    5 21:56:30    -1060.431396        3.851223
FIRE2:    6 21:56:30    -1060.432373        1.500324
FIRE2:    7 21:56:30    -1060.432373        1.238019
FIRE2:    8 21:56:30    -1060.432617        0.517239
FIRE2:    9 21:56:30    -1060.432495        0.447323
FIRE2:   10 21:56:30    -1060.432617        0.348991
FIRE2:   11 21:56:30    -1060.432617        0.228672
FIRE2:   12 21:56:31    -1060.432617        0.091612
FIRE2:   13 21:56:31    -1060.432617        0.049916
FIRE2:   14 21:56:31    -1060.432617        0.003283
FIRE2:   15 21:56:31    -1060.432617        0.003298
FIRE2:   16 21:56:31    -1060.432617        0.003397
FIRE2:   17 21:56:31    -1060.432617        0.003130
FIRE2:   18 21:56:31    -1060.432617        0.003127
FIRE2:   19 21:56:31    -1060.432617        0.001267
FIRE2:   20 21:56:31    -1060.432617        0.001284
FIRE2:   21 21:56:31    -1060.432617        0.001549
FIRE2:   22 21:56:31    -1060.432617        0.000722
