       Step     Time          Energy          fmax
FIRE2:    0 17:13:45    -1060.176514       58.440841
FIRE2:    1 17:13:45     -952.932617     1593.153694
FIRE2:    2 17:13:47    -1010.218384      511.741467
FIRE2:    3 17:13:47    -1060.337891       35.520740
FIRE2:    4 17:13:47    -1060.432495        0.971869
FIRE2:    5 17:13:47    -1060.431396        3.852262
FIRE2:    6 17:13:47    -1060.432373        1.500381
FIRE2:    7 17:13:47    -1060.432373        1.237938
FIRE2:    8 17:13:47    -1060.432617        0.516964
FIRE2:    9 17:13:47    -1060.432495        0.447822
FIRE2:   10 17:13:48    -1060.432617        0.349183
FIRE2:   11 17:13:48    -1060.432617        0.228663
FIRE2:   12 17:13:48    -1060.432617        0.091602
FIRE2:   13 17:13:48    -1060.432617        0.049900
FIRE2:   14 17:13:48    -1060.432617        0.003282
FIRE2:   15 17:13:48    -1060.432617        0.003286
FIRE2:   16 17:13:48    -1060.432617        0.003411
FIRE2:   17 17:13:48    -1060.432617        0.003170
FIRE2:   18 17:13:48    -1060.432617        0.003135
FIRE2:   19 17:13:48    -1060.432617        0.001275
FIRE2:   20 17:13:48    -1060.432617        0.001299
FIRE2:   21 17:13:48    -1060.432617        0.001547
FIRE2:   22 17:13:48    -1060.432617        0.000827
