       Step     Time          Energy          fmax
FIRE2:    0 17:14:57    -1049.770142        0.296090
FIRE2:    1 17:14:57    -1049.778809        0.274713
FIRE2:    2 17:14:57    -1049.793945        0.234175
FIRE2:    3 17:14:57    -1049.811279        0.178755
FIRE2:    4 17:14:58    -1049.826660        0.114566
FIRE2:    5 17:14:58    -1049.837524        0.049604
FIRE2:    6 17:14:58    -1049.842529        0.043557
FIRE2:    7 17:14:58    -1049.843018        0.043578
FIRE2:    8 17:14:58    -1049.843262        0.043520
FIRE2:    9 17:14:58    -1049.843506        0.043411
FIRE2:   10 17:14:58    -1049.843506        0.043246
FIRE2:   11 17:14:58    -1049.843750        0.043026
FIRE2:   12 17:14:58    -1049.843994        0.042751
FIRE2:   13 17:14:58    -1049.844238        0.042417
FIRE2:   14 17:14:58    -1049.844482        0.042026
FIRE2:   15 17:14:59    -1049.844727        0.041571
FIRE2:   16 17:14:59    -1049.844971        0.041054
FIRE2:   17 17:14:59    -1049.845093        0.040475
FIRE2:   18 17:14:59    -1049.845337        0.039831
FIRE2:   19 17:14:59    -1049.845703        0.039135
FIRE2:   20 17:14:59    -1049.845703        0.038394
FIRE2:   21 17:14:59    -1049.845947        0.037623
FIRE2:   22 17:14:59    -1049.846191        0.036828
FIRE2:   23 17:14:59    -1049.846436        0.036012
FIRE2:   24 17:14:59    -1049.846680        0.035178
FIRE2:   25 17:14:59    -1049.846924        0.034322
FIRE2:   26 17:14:59    -1049.847046        0.033440
FIRE2:   27 17:14:59    -1049.847412        0.032528
FIRE2:   28 17:14:59    -1049.847534        0.031585
FIRE2:   29 17:15:00    -1049.847900        0.030507
FIRE2:   30 17:15:00    -1049.848145        0.029273
FIRE2:   31 17:15:00    -1049.848389        0.027861
FIRE2:   32 17:15:00    -1049.848877        0.026244
FIRE2:   33 17:15:00    -1049.849121        0.024396
FIRE2:   34 17:15:00    -1049.849487        0.022286
FIRE2:   35 17:15:00    -1049.849854        0.019885
FIRE2:   36 17:15:00    -1049.850342        0.017160
FIRE2:   37 17:15:00    -1049.850708        0.014078
FIRE2:   38 17:15:00    -1049.851074        0.010597
FIRE2:   39 17:15:00    -1049.851318        0.006685
FIRE2:   40 17:15:00    -1049.851440        0.002331
FIRE2:   41 17:15:00    -1049.851440        0.002575
FIRE2:   42 17:15:01    -1049.851318        0.001720
FIRE2:   43 17:15:01    -1049.851318        0.001492
FIRE2:   44 17:15:01    -1049.851562        0.001201
FIRE2:   45 17:15:01    -1049.851562        0.001181
FIRE2:   46 17:15:01    -1049.851562        0.001156
FIRE2:   47 17:15:01    -1049.851562        0.001124
FIRE2:   48 17:15:01    -1049.851562        0.001088
FIRE2:   49 17:15:01    -1049.851562        0.001052
FIRE2:   50 17:15:01    -1049.851562        0.001015
FIRE2:   51 17:15:01    -1049.851562        0.000979
