       Step     Time          Energy          fmax
FIRE2:    0 17:09:31    -1059.881836        0.014090
FIRE2:    1 17:09:36    -1059.881836        0.014006
FIRE2:    2 17:09:38    -1059.881836        0.013824
FIRE2:    3 17:09:40    -1059.881836        0.013555
FIRE2:    4 17:09:43    -1059.881958        0.013214
FIRE2:    5 17:09:45    -1059.882080        0.012778
FIRE2:    6 17:09:48    -1059.881958        0.012263
FIRE2:    7 17:09:50    -1059.882080        0.011678
FIRE2:    8 17:09:53    -1059.882080        0.011011
FIRE2:    9 17:09:55    -1059.882080        0.010277
FIRE2:   10 17:09:58    -1059.882080        0.009485
FIRE2:   11 17:10:00    -1059.882202        0.008622
FIRE2:   12 17:10:02    -1059.882202        0.007708
FIRE2:   13 17:10:05    -1059.882324        0.006746
FIRE2:   14 17:10:07    -1059.882324        0.005741
FIRE2:   15 17:10:09    -1059.882324        0.004703
FIRE2:   16 17:10:12    -1059.882324        0.003627
FIRE2:   17 17:10:14    -1059.882324        0.002538
       Step     Time          Energy          fmax
FIRE2:    0 17:11:29    -1059.881836        0.014090
FIRE2:    1 17:11:34    -1059.881836        0.014006
FIRE2:    2 17:11:36    -1059.881836        0.013824
FIRE2:    3 17:11:39    -1059.881836        0.013556
FIRE2:    4 17:11:41    -1059.881958        0.013214
FIRE2:    5 17:11:43    -1059.882080        0.012778
FIRE2:    6 17:11:46    -1059.881958        0.012263
FIRE2:    7 17:11:48    -1059.882080        0.011678
FIRE2:    8 17:11:50    -1059.882080        0.011011
FIRE2:    9 17:11:53    -1059.882080        0.010276
FIRE2:   10 17:11:55    -1059.882080        0.009485
FIRE2:   11 17:11:57    -1059.882202        0.008621
FIRE2:   12 17:12:00    -1059.882202        0.007708
FIRE2:   13 17:12:02    -1059.882324        0.006746
FIRE2:   14 17:12:05    -1059.882324        0.005741
FIRE2:   15 17:12:07    -1059.882324        0.004703
FIRE2:   16 17:12:09    -1059.882324        0.003627
FIRE2:   17 17:12:12    -1059.882324        0.002538
FIRE2:   18 17:12:14    -1059.882324        0.001426
FIRE2:   19 17:12:17    -1059.882324        0.000317
       Step     Time          Energy          fmax
FIRE2:    0 21:30:04    -1059.881836        0.014090
FIRE2:    1 21:30:09    -1059.881836        0.014006
FIRE2:    2 21:30:12    -1059.881836        0.013824
FIRE2:    3 21:30:15    -1059.881836        0.013555
FIRE2:    4 21:30:17    -1059.881958        0.013214
FIRE2:    5 21:30:20    -1059.881958        0.012778
FIRE2:    6 21:30:23    -1059.881958        0.012263
FIRE2:    7 21:30:25    -1059.882080        0.011678
FIRE2:    8 21:30:28    -1059.882080        0.011011
FIRE2:    9 21:30:31    -1059.882080        0.010276
FIRE2:   10 21:30:33    -1059.882080        0.009485
