       Step     Time          Energy          fmax
FIRE2:    0 21:41:52    -1059.881836        3.123789
FIRE2:    1 21:41:53    -1054.991089      298.398665
FIRE2:    2 21:41:56     -992.630005      564.619535
FIRE2:    3 21:41:58    -1015.927612      402.721504
FIRE2:    4 21:42:01    -1049.586426      388.429514
FIRE2:    5 21:42:01    -1044.377441      403.428255
FIRE2:    6 21:42:01    -1056.993164      224.402557
FIRE2:    7 21:42:01    -1059.794189       42.390667
FIRE2:    8 21:42:01    -1058.193604      184.581801
FIRE2:    9 21:42:01    -1059.227539      116.393596
FIRE2:   10 21:42:01    -1059.478760       91.580238
FIRE2:   11 21:42:01    -1059.724976       57.238101
FIRE2:   12 21:42:01    -1059.868408       17.039135
FIRE2:   13 21:42:01    -1059.853271       24.416421
FIRE2:   14 21:42:02    -1059.876709       10.774429
FIRE2:   15 21:42:02    -1059.877686        9.868577
FIRE2:   16 21:42:02    -1059.878784        8.554800
FIRE2:   17 21:42:02    -1059.880127        6.889348
FIRE2:   18 21:42:02    -1059.881104        4.938773
FIRE2:   19 21:42:02    -1059.882080        2.781385
FIRE2:   20 21:42:02    -1059.882324        0.506977
FIRE2:   21 21:42:02    -1059.882202        1.790702
FIRE2:   22 21:42:02    -1059.882324        0.614764
FIRE2:   23 21:42:02    -1059.882324        0.563755
FIRE2:   24 21:42:02    -1059.882324        0.487373
FIRE2:   25 21:42:03    -1059.882324        0.392100
FIRE2:   26 21:42:03    -1059.882324        0.281229
FIRE2:   27 21:42:03    -1059.882324        0.157722
FIRE2:   28 21:42:03    -1059.882324        0.026471
FIRE2:   29 21:42:03    -1059.882324        0.102748
FIRE2:   30 21:42:03    -1059.882324        0.035851
FIRE2:   31 21:42:03    -1059.882324        0.032096
FIRE2:   32 21:42:03    -1059.882324        0.028497
FIRE2:   33 21:42:03    -1059.882324        0.023245
FIRE2:   34 21:42:03    -1059.882324        0.016552
FIRE2:   35 21:42:03    -1059.882324        0.009915
FIRE2:   36 21:42:04    -1059.882324        0.001523
FIRE2:   37 21:42:04    -1059.882324        0.005804
FIRE2:   38 21:42:04    -1059.882324        0.001424
FIRE2:   39 21:42:04    -1059.882324        0.001457
FIRE2:   40 21:42:04    -1059.882324        0.001472
FIRE2:   41 21:42:04    -1059.882324        0.001459
FIRE2:   42 21:42:04    -1059.882324        0.000443
       Step     Time          Energy          fmax
FIRE2:    0 21:47:18    -1059.881836        3.123793
FIRE2:    1 21:47:19    -1054.991089      298.398558
FIRE2:    2 21:47:22     -992.630005      564.619352
FIRE2:    3 21:47:25    -1015.927856      402.711756
FIRE2:    4 21:47:27    -1049.586670      388.426359
FIRE2:    5 21:47:28    -1044.377197      403.429108
FIRE2:    6 21:47:28    -1056.993164      224.405025
FIRE2:    7 21:47:28    -1059.794189       42.391865
FIRE2:    8 21:47:28    -1058.193604      184.581773
FIRE2:    9 21:47:28    -1059.227539      116.392039
FIRE2:   10 21:47:28    -1059.478760       91.580278
FIRE2:   11 21:47:28    -1059.724976       57.238106
FIRE2:   12 21:47:28    -1059.868408       17.038862
FIRE2:   13 21:47:28    -1059.853271       24.416416
FIRE2:   14 21:47:28    -1059.876709       10.774321
FIRE2:   15 21:47:28    -1059.877686        9.868566
FIRE2:   16 21:47:29    -1059.878784        8.554778
FIRE2:   17 21:47:29    -1059.880127        6.889338
FIRE2:   18 21:47:29    -1059.881104        4.938747
FIRE2:   19 21:47:29    -1059.882080        2.781517
FIRE2:   20 21:47:29    -1059.882324        0.506941
FIRE2:   21 21:47:29    -1059.882202        1.789346
FIRE2:   22 21:47:29    -1059.882324        0.614739
FIRE2:   23 21:47:29    -1059.882324        0.563294
FIRE2:   24 21:47:29    -1059.882324        0.488138
FIRE2:   25 21:47:29    -1059.882324        0.392595
FIRE2:   26 21:47:29    -1059.882324        0.281379
FIRE2:   27 21:47:29    -1059.882324        0.157739
FIRE2:   28 21:47:29    -1059.882324        0.026458
FIRE2:   29 21:47:30    -1059.882324        0.104265
FIRE2:   30 21:47:30    -1059.882324        0.036293
FIRE2:   31 21:47:30    -1059.882324        0.032040
FIRE2:   32 21:47:30    -1059.882324        0.028456
FIRE2:   33 21:47:30    -1059.882324        0.023249
FIRE2:   34 21:47:30    -1059.882324        0.016712
FIRE2:   35 21:47:30    -1059.882324        0.009878
FIRE2:   36 21:47:30    -1059.882324        0.001399
FIRE2:   37 21:47:30    -1059.882324        0.006031
FIRE2:   38 21:47:30    -1059.882324        0.001435
FIRE2:   39 21:47:30    -1059.882324        0.001433
FIRE2:   40 21:47:30    -1059.882324        0.001425
FIRE2:   41 21:47:31    -1059.882324        0.001454
