       Step     Time          Energy          fmax
FIRE2:    0 17:12:23    -1059.881836        3.123808
FIRE2:    1 17:12:23    -1054.990967      298.399801
FIRE2:    2 17:12:23     -992.630005      564.619183
FIRE2:    3 17:12:25    -1015.928955      402.680653
FIRE2:    4 17:12:28    -1049.587402      388.417429
FIRE2:    5 17:12:28    -1044.376709      403.433291
FIRE2:    6 17:12:28    -1056.992920      224.414518
FIRE2:    7 17:12:28    -1059.794189       42.397619
FIRE2:    8 17:12:28    -1058.193604      184.585197
FIRE2:    9 17:12:28    -1059.227539      116.393697
FIRE2:   10 17:12:28    -1059.478760       91.582020
FIRE2:   11 17:12:29    -1059.724976       57.238107
FIRE2:   12 17:12:29    -1059.868408       17.040888
FIRE2:   13 17:12:29    -1059.853271       24.416499
FIRE2:   14 17:12:29    -1059.876709       10.774272
FIRE2:   15 17:12:29    -1059.877686        9.868406
FIRE2:   16 17:12:29    -1059.878784        8.554608
FIRE2:   17 17:12:29    -1059.880127        6.889264
FIRE2:   18 17:12:29    -1059.881104        4.938783
FIRE2:   19 17:12:29    -1059.882080        2.781332
FIRE2:   20 17:12:29    -1059.882324        0.507066
FIRE2:   21 17:12:29    -1059.882202        1.790349
FIRE2:   22 17:12:29    -1059.882324        0.614763
FIRE2:   23 17:12:29    -1059.882324        0.563511
FIRE2:   24 17:12:30    -1059.882324        0.488333
FIRE2:   25 17:12:30    -1059.882324        0.392949
FIRE2:   26 17:12:30    -1059.882324        0.281372
FIRE2:   27 17:12:30    -1059.882324        0.157746
FIRE2:   28 17:12:30    -1059.882324        0.026462
FIRE2:   29 17:12:30    -1059.882324        0.104245
FIRE2:   30 17:12:30    -1059.882324        0.036281
FIRE2:   31 17:12:30    -1059.882324        0.032068
FIRE2:   32 17:12:30    -1059.882324        0.028430
FIRE2:   33 17:12:30    -1059.882324        0.023270
FIRE2:   34 17:12:30    -1059.882324        0.016759
FIRE2:   35 17:12:30    -1059.882324        0.009955
FIRE2:   36 17:12:30    -1059.882324        0.001406
FIRE2:   37 17:12:30    -1059.882324        0.005980
FIRE2:   38 17:12:31    -1059.882324        0.001426
FIRE2:   39 17:12:31    -1059.882324        0.001426
FIRE2:   40 17:12:31    -1059.882324        0.001427
FIRE2:   41 17:12:31    -1059.882324        0.001437
FIRE2:   42 17:12:31    -1059.882324        0.000470
