       Step     Time          Energy          fmax
FIRE2:    0 17:13:41    -1049.409912        0.342867
FIRE2:    1 17:13:41    -1049.419678        0.317012
FIRE2:    2 17:13:41    -1049.436523        0.267713
FIRE2:    3 17:13:41    -1049.455444        0.199769
FIRE2:    4 17:13:41    -1049.471680        0.120393
FIRE2:    5 17:13:41    -1049.482422        0.053964
FIRE2:    6 17:13:41    -1049.486938        0.046145
FIRE2:    7 17:13:41    -1049.487305        0.054407
FIRE2:    8 17:13:42    -1049.487793        0.045800
FIRE2:    9 17:13:42    -1049.487793        0.044139
FIRE2:   10 17:13:42    -1049.488037        0.043903
FIRE2:   11 17:13:42    -1049.488281        0.043586
FIRE2:   12 17:13:42    -1049.488525        0.043187
FIRE2:   13 17:13:43    -1049.489014        0.042699
FIRE2:   14 17:13:43    -1049.489258        0.042119
FIRE2:   15 17:13:43    -1049.489502        0.041439
FIRE2:   16 17:13:43    -1049.489746        0.040652
FIRE2:   17 17:13:43    -1049.489990        0.039753
FIRE2:   18 17:13:43    -1049.490234        0.038746
FIRE2:   19 17:13:44    -1049.490356        0.037650
FIRE2:   20 17:13:44    -1049.490601        0.036484
FIRE2:   21 17:13:44    -1049.490723        0.035271
FIRE2:   22 17:13:44    -1049.490967        0.034019
FIRE2:   23 17:13:44    -1049.491211        0.032739
FIRE2:   24 17:13:44    -1049.491333        0.031427
FIRE2:   25 17:13:44    -1049.491699        0.030081
FIRE2:   26 17:13:44    -1049.491821        0.028690
FIRE2:   27 17:13:44    -1049.491943        0.027255
FIRE2:   28 17:13:44    -1049.492310        0.025773
FIRE2:   29 17:13:44    -1049.492432        0.024089
FIRE2:   30 17:13:44    -1049.492676        0.022179
FIRE2:   31 17:13:44    -1049.492920        0.020018
FIRE2:   32 17:13:44    -1049.493164        0.017575
FIRE2:   33 17:13:45    -1049.493408        0.014821
FIRE2:   34 17:13:45    -1049.493408        0.011728
FIRE2:   35 17:13:45    -1049.493652        0.008268
FIRE2:   36 17:13:45    -1049.493896        0.004411
FIRE2:   37 17:13:45    -1049.493896        0.000445
