       Step     Time          Energy          fmax
FIRE2:    0 17:05:14    -1083.313721        0.088419
FIRE2:    1 17:05:19    -1083.313721        0.088136
FIRE2:    2 17:05:21    -1083.314453        0.087578
FIRE2:    3 17:05:24    -1083.315186        0.086735
FIRE2:    4 17:05:26    -1083.316162        0.085621
FIRE2:    5 17:05:29    -1083.317139        0.084230
FIRE2:    6 17:05:31    -1083.318359        0.082578
FIRE2:    7 17:05:33    -1083.319824        0.080664
FIRE2:    8 17:05:36    -1083.321533        0.078497
FIRE2:    9 17:05:38    -1083.323486        0.076082
FIRE2:   10 17:05:41    -1083.325195        0.073421
FIRE2:   11 17:05:43    -1083.327148        0.070537
FIRE2:   12 17:05:46    -1083.329102        0.067434
FIRE2:   13 17:05:48    -1083.331299        0.064122
FIRE2:   14 17:05:50    -1083.333252        0.060612
FIRE2:   15 17:05:53    -1083.335449        0.056918
FIRE2:   16 17:05:55    -1083.337402        0.053047
FIRE2:   17 17:05:57    -1083.339600        0.049020
FIRE2:   18 17:06:00    -1083.341309        0.044841
FIRE2:   19 17:06:02    -1083.343018        0.040531
FIRE2:   20 17:06:04    -1083.344727        0.036107
FIRE2:   21 17:06:07    -1083.346191        0.031577
FIRE2:   22 17:06:09    -1083.347656        0.026488
FIRE2:   23 17:06:11    -1083.348877        0.020777
FIRE2:   24 17:06:14    -1083.350098        0.014404
FIRE2:   25 17:06:16    -1083.350830        0.007322
FIRE2:   26 17:06:18    -1083.351074        0.000508
       Step     Time          Energy          fmax
FIRE2:    0 17:47:14    -1083.313721        0.088419
FIRE2:    1 17:47:18    -1083.313721        0.088136
FIRE2:    2 17:47:21    -1083.314453        0.087579
FIRE2:    3 17:47:23    -1083.315186        0.086736
FIRE2:    4 17:47:26    -1083.316162        0.085621
FIRE2:    5 17:47:28    -1083.317139        0.084230
FIRE2:    6 17:47:31    -1083.318359        0.082578
FIRE2:    7 17:47:33    -1083.319824        0.080664
FIRE2:    8 17:47:35    -1083.321533        0.078497
FIRE2:    9 17:47:38    -1083.323486        0.076082
FIRE2:   10 17:47:40    -1083.325195        0.073421
FIRE2:   11 17:47:43    -1083.327148        0.070537
FIRE2:   12 17:47:45    -1083.329102        0.067434
FIRE2:   13 17:47:48    -1083.331299        0.064122
FIRE2:   14 17:47:50    -1083.333252        0.060612
FIRE2:   15 17:47:53    -1083.335449        0.056918
FIRE2:   16 17:47:55    -1083.337402        0.053047
FIRE2:   17 17:47:57    -1083.339600        0.049020
FIRE2:   18 17:48:00    -1083.341309        0.044841
FIRE2:   19 17:48:02    -1083.343018        0.040531
FIRE2:   20 17:48:05    -1083.344727        0.036107
FIRE2:   21 17:48:08    -1083.346191        0.031577
FIRE2:   22 17:48:10    -1083.347656        0.026488
FIRE2:   23 17:48:13    -1083.348877        0.020777
FIRE2:   24 17:48:15    -1083.349854        0.014404
FIRE2:   25 17:48:17    -1083.350830        0.007322
FIRE2:   26 17:48:20    -1083.351074        0.000508
