       Step     Time          Energy          fmax
FIRE2:    0 21:58:54    -1083.313721       19.602792
FIRE2:    1 21:58:55     -966.421509     1976.879002
FIRE2:    2 21:58:57    -1074.921631      287.931103
FIRE2:    3 21:58:59    -1045.772705      469.009344
FIRE2:    4 21:58:59    -1068.983154      348.174046
FIRE2:    5 21:59:02     -175.734192     4538.000623
FIRE2:    6 21:59:02     -975.589355     1875.112805
FIRE2:    7 21:59:02    -1082.974365       63.912122
       Step     Time          Energy          fmax
FIRE2:    0 22:00:39    -1083.313721       19.602800
FIRE2:    1 22:00:39     -966.421143     1976.882006
FIRE2:    2 22:00:42    -1074.921631      287.930777
FIRE2:    3 22:00:44    -1045.771973      469.009712
FIRE2:    4 22:00:44    -1068.983643      348.169636
FIRE2:    5 22:00:47     -175.681610     4537.129749
FIRE2:    6 22:00:47     -975.570068     1875.349078
FIRE2:    7 22:00:47    -1082.974854       63.861621
       Step     Time          Energy          fmax
FIRE2:    0 22:15:06    -1083.313721       19.602783
FIRE2:    1 22:15:06     -966.421753     1976.875724
FIRE2:    2 22:15:09    -1074.921387      287.931403
FIRE2:    3 22:15:11    -1045.773193      469.007088
FIRE2:    4 22:15:11    -1068.982910      348.176369
FIRE2:    5 22:15:13     -175.759262     4538.392121
FIRE2:    6 22:15:13     -975.597839     1875.006500
FIRE2:    7 22:15:13    -1082.974121       63.934892
       Step     Time          Energy          fmax
FIRE2:    0 03:20:13    -1083.313721       19.602771
FIRE2:    1 03:20:13     -966.421753     1976.875528
FIRE2:    2 03:20:16    -1074.921387      287.931410
FIRE2:    3 03:20:18    -1045.773682      469.007288
FIRE2:    4 03:20:18    -1068.982666      348.177860
FIRE2:    5 03:20:21     -175.776611     4538.679934
FIRE2:    6 03:20:21     -975.604614     1874.923819
FIRE2:    7 03:20:21    -1082.973877       63.951942
       Step     Time          Energy          fmax
FIRE2:    0 09:55:47    -1083.313599       19.602910
FIRE2:    1 09:56:11     -966.418823     1976.906646
FIRE2:    2 09:56:43    -1074.921875      287.927766
FIRE2:    3 09:57:32    -1045.767700      469.018420
FIRE2:    4 09:57:42    -1068.986328      348.148117
FIRE2:    5 09:59:17     -175.441040     4533.232528
FIRE2:    6 09:59:38     -975.483459     1876.418898
FIRE2:    7 09:59:49    -1082.977417       63.633452
       Step     Time          Energy          fmax
FIRE2:    0 10:29:02    -1083.313721       19.602802
FIRE2:    1 10:29:03     -966.421143     1976.882433
FIRE2:    2 10:29:06    -1074.921631      287.930734
FIRE2:    3 10:29:08    -1045.771973      469.009881
FIRE2:    4 10:29:08    -1068.983643      348.169539
FIRE2:    5 10:29:10     -175.680756     4537.114732
FIRE2:    6 10:29:10     -975.569824     1875.352560
FIRE2:    7 10:29:10    -1082.974854       63.860997
       Step     Time          Energy          fmax
FIRE2:    0 14:24:56    -1083.313721       19.602790
FIRE2:    1 14:24:57     -966.421753     1976.876397
FIRE2:    2 14:25:01    -1074.921631      287.931017
FIRE2:    3 14:25:03    -1045.772705      469.007704
FIRE2:    4 14:25:03    -1068.983154      348.173188
FIRE2:    5 14:25:06     -175.727783     4537.905717
FIRE2:    6 14:25:06     -975.587036     1875.141059
FIRE2:    7 14:25:06    -1082.974365       63.906038
       Step     Time          Energy          fmax
FIRE2:    0 14:39:15    -1083.313721       19.602782
FIRE2:    1 14:39:16     -966.421875     1976.875483
FIRE2:    2 14:39:19    -1074.921387      287.931358
FIRE2:    3 14:39:21    -1045.773193      469.007091
FIRE2:    4 14:39:21    -1068.982910      348.176407
FIRE2:    5 14:39:24     -175.759537     4538.403425
FIRE2:    6 14:39:24     -975.598022     1875.005728
FIRE2:    7 14:39:24    -1082.974121       63.934672
