       Step     Time          Energy          fmax
FIRE2:    0 17:48:26    -1072.394897        0.189660
FIRE2:    1 17:48:28    -1072.401123        0.180402
FIRE2:    2 17:48:29    -1072.411621        0.162180
FIRE2:    3 17:48:29    -1072.424072        0.135444
FIRE2:    4 17:48:29    -1072.435425        0.100771
FIRE2:    5 17:48:29    -1072.443604        0.059082
FIRE2:    6 17:48:29    -1072.447266        0.016349
FIRE2:    7 17:48:29    -1072.447021        0.029914
FIRE2:    8 17:48:29    -1072.447510        0.019001
FIRE2:    9 17:48:29    -1072.447510        0.018460
FIRE2:   10 17:48:29    -1072.447510        0.017655
FIRE2:   11 17:48:29    -1072.447632        0.016599
FIRE2:   12 17:48:29    -1072.447632        0.016266
FIRE2:   13 17:48:29    -1072.447876        0.016141
FIRE2:   14 17:48:29    -1072.447754        0.015997
FIRE2:   15 17:48:29    -1072.447876        0.015828
FIRE2:   16 17:48:29    -1072.447998        0.015635
FIRE2:   17 17:48:30    -1072.447998        0.015418
FIRE2:   18 17:48:30    -1072.447998        0.015172
FIRE2:   19 17:48:30    -1072.447998        0.014901
FIRE2:   20 17:48:30    -1072.448120        0.014611
FIRE2:   21 17:48:30    -1072.448242        0.014307
FIRE2:   22 17:48:30    -1072.448242        0.014000
FIRE2:   23 17:48:30    -1072.448242        0.013693
FIRE2:   24 17:48:30    -1072.448364        0.013390
FIRE2:   25 17:48:30    -1072.448364        0.013092
FIRE2:   26 17:48:30    -1072.448364        0.012794
FIRE2:   27 17:48:30    -1072.448364        0.012493
FIRE2:   28 17:48:30    -1072.448486        0.012185
FIRE2:   29 17:48:30    -1072.448486        0.011837
FIRE2:   30 17:48:30    -1072.448608        0.011437
FIRE2:   31 17:48:30    -1072.448608        0.010975
FIRE2:   32 17:48:30    -1072.448730        0.010442
FIRE2:   33 17:48:30    -1072.448608        0.009830
FIRE2:   34 17:48:30    -1072.448730        0.009128
FIRE2:   35 17:48:31    -1072.448853        0.008329
FIRE2:   36 17:48:31    -1072.448975        0.007424
FIRE2:   37 17:48:31    -1072.448975        0.006405
FIRE2:   38 17:48:31    -1072.448975        0.005264
FIRE2:   39 17:48:31    -1072.449219        0.003987
FIRE2:   40 17:48:31    -1072.449219        0.002547
FIRE2:   41 17:48:31    -1072.449219        0.000927
