       Step     Time          Energy          fmax
FIRE2:    0 17:09:14    -1084.455811        0.182094
FIRE2:    1 17:09:19    -1084.456787        0.181452
FIRE2:    2 17:09:21    -1084.458740        0.180172
FIRE2:    3 17:09:24    -1084.461670        0.178262
FIRE2:    4 17:09:26    -1084.465576        0.175723
FIRE2:    5 17:09:28    -1084.470215        0.172558
FIRE2:    6 17:09:31    -1084.475586        0.168784
FIRE2:    7 17:09:33    -1084.481934        0.164411
FIRE2:    8 17:09:36    -1084.488525        0.159457
FIRE2:    9 17:09:38    -1084.496094        0.153925
FIRE2:   10 17:09:40    -1084.503662        0.147848
FIRE2:   11 17:09:43    -1084.511963        0.141231
FIRE2:   12 17:09:45    -1084.520020        0.134105
FIRE2:   13 17:09:47    -1084.528564        0.126493
FIRE2:   14 17:09:50    -1084.536865        0.118416
FIRE2:   15 17:09:52    -1084.544922        0.109903
FIRE2:   16 17:09:54    -1084.552734        0.100984
FIRE2:   17 17:09:57    -1084.560547        0.091682
FIRE2:   18 17:09:59    -1084.567383        0.082042
FIRE2:   19 17:10:01    -1084.573730        0.072082
FIRE2:   20 17:10:04    -1084.579590        0.061844
FIRE2:   21 17:10:06    -1084.584473        0.051363
FIRE2:   22 17:10:09    -1084.588867        0.039589
FIRE2:   23 17:10:11    -1084.592529        0.026401
FIRE2:   24 17:10:13    -1084.594727        0.011688
FIRE2:   25 17:10:16    -1084.595215        0.004627
       Step     Time          Energy          fmax
FIRE2:    0 17:11:30    -1084.455811        0.182094
FIRE2:    1 17:11:35    -1084.456787        0.181452
FIRE2:    2 17:11:37    -1084.458740        0.180172
FIRE2:    3 17:11:39    -1084.461670        0.178262
FIRE2:    4 17:11:42    -1084.465576        0.175723
FIRE2:    5 17:11:44    -1084.470215        0.172558
FIRE2:    6 17:11:47    -1084.475586        0.168784
FIRE2:    7 17:11:49    -1084.481934        0.164411
FIRE2:    8 17:11:51    -1084.488647        0.159457
FIRE2:    9 17:11:54    -1084.496094        0.153925
FIRE2:   10 17:11:56    -1084.503662        0.147849
FIRE2:   11 17:11:58    -1084.511963        0.141231
FIRE2:   12 17:12:01    -1084.520020        0.134105
FIRE2:   13 17:12:03    -1084.528564        0.126493
FIRE2:   14 17:12:05    -1084.536865        0.118416
FIRE2:   15 17:12:08    -1084.544922        0.109903
FIRE2:   16 17:12:10    -1084.552734        0.100983
FIRE2:   17 17:12:12    -1084.560547        0.091682
FIRE2:   18 17:12:15    -1084.567383        0.082042
FIRE2:   19 17:12:17    -1084.573975        0.072075
FIRE2:   20 17:12:19    -1084.579590        0.061844
FIRE2:   21 17:12:22    -1084.584473        0.051363
FIRE2:   22 17:12:24    -1084.588867        0.039589
FIRE2:   23 17:12:27    -1084.592529        0.026401
FIRE2:   24 17:12:29    -1084.594727        0.011688
FIRE2:   25 17:12:31    -1084.595215        0.004627
FIRE2:   26 17:12:35    -1084.595459        0.000544
