       Step     Time          Energy          fmax
FIRE2:    0 21:58:47    -1084.455811       40.370748
FIRE2:    1 21:58:47     -967.186646     1584.625408
FIRE2:    2 21:58:52    -1058.533203      424.493448
FIRE2:    3 21:58:55    -1084.582031       12.527595
FIRE2:    4 21:58:55    -1075.579834      301.211047
FIRE2:    5 21:58:55    -1042.759277      487.502039
FIRE2:    6 21:58:55    -1082.811768      139.772294
FIRE2:    7 21:58:55    -1084.117188       74.080089
FIRE2:    8 21:58:55    -1084.578857       13.943155
FIRE2:    9 21:58:56    -1084.589844        8.082732
FIRE2:   10 21:58:56    -1084.591064        7.118124
FIRE2:   11 21:58:56    -1084.592529        5.741726
FIRE2:   12 21:58:56    -1084.593994        4.032398
FIRE2:   13 21:58:56    -1084.594971        2.087515
FIRE2:   14 21:58:56    -1084.595459        0.019258
FIRE2:   15 21:58:56    -1084.594971        2.052824
FIRE2:   16 21:58:56    -1084.595215        1.356134
FIRE2:   17 21:58:56    -1084.595215        1.291562
FIRE2:   18 21:58:56    -1084.595215        1.194634
FIRE2:   19 21:58:56    -1084.595215        1.070281
FIRE2:   20 21:58:57    -1084.595215        0.920516
FIRE2:   21 21:58:57    -1084.595459        0.748767
FIRE2:   22 21:58:57    -1084.595215        0.558764
FIRE2:   23 21:58:57    -1084.595459        0.356184
FIRE2:   24 21:58:57    -1084.595459        0.144114
FIRE2:   25 21:58:57    -1084.595459        0.070471
FIRE2:   26 21:58:57    -1084.595337        0.035929
FIRE2:   27 21:58:57    -1084.595337        0.035195
FIRE2:   28 21:58:57    -1084.595337        0.032352
FIRE2:   29 21:58:57    -1084.595337        0.028244
FIRE2:   30 21:58:57    -1084.595337        0.024789
FIRE2:   31 21:58:57    -1084.595337        0.020176
FIRE2:   32 21:58:58    -1084.595459        0.015174
FIRE2:   33 21:58:58    -1084.595459        0.009305
FIRE2:   34 21:58:58    -1084.595459        0.004424
FIRE2:   35 21:58:58    -1084.595215        0.001828
FIRE2:   36 21:58:58    -1084.595459        0.001380
FIRE2:   37 21:58:58    -1084.595459        0.000605
