       Step     Time          Energy          fmax
FIRE2:    0 17:12:45    -1084.455811       40.370761
FIRE2:    1 17:12:45     -967.186646     1584.625265
FIRE2:    2 17:12:49    -1058.533203      424.493440
FIRE2:    3 17:12:50    -1084.582031       12.527606
FIRE2:    4 17:12:50    -1075.580078      301.209475
FIRE2:    5 17:12:50    -1042.759033      487.502244
FIRE2:    6 17:12:50    -1082.811768      139.775340
FIRE2:    7 17:12:50    -1084.116943       74.081188
FIRE2:    8 17:12:50    -1084.578979       13.942687
FIRE2:    9 17:12:50    -1084.589844        8.082763
FIRE2:   10 17:12:50    -1084.591064        7.118655
FIRE2:   11 17:12:50    -1084.592529        5.741998
FIRE2:   12 17:12:50    -1084.593994        4.033950
FIRE2:   13 17:12:50    -1084.594971        2.087325
FIRE2:   14 17:12:50    -1084.595459        0.018813
FIRE2:   15 17:12:51    -1084.594971        2.053233
FIRE2:   16 17:12:51    -1084.595215        1.356823
FIRE2:   17 17:12:51    -1084.595215        1.291314
FIRE2:   18 17:12:51    -1084.595215        1.194737
FIRE2:   19 17:12:51    -1084.595215        1.070299
FIRE2:   20 17:12:51    -1084.595215        0.920469
FIRE2:   21 17:12:51    -1084.595459        0.748987
FIRE2:   22 17:12:51    -1084.595215        0.558864
FIRE2:   23 17:12:51    -1084.595459        0.356168
FIRE2:   24 17:12:51    -1084.595459        0.144405
FIRE2:   25 17:12:51    -1084.595459        0.070474
FIRE2:   26 17:12:51    -1084.595337        0.036251
FIRE2:   27 17:12:52    -1084.595459        0.035269
FIRE2:   28 17:12:52    -1084.595459        0.032377
FIRE2:   29 17:12:52    -1084.595215        0.028319
FIRE2:   30 17:12:52    -1084.595337        0.024782
FIRE2:   31 17:12:52    -1084.595337        0.020275
FIRE2:   32 17:12:52    -1084.595459        0.015201
FIRE2:   33 17:12:52    -1084.595337        0.009259
FIRE2:   34 17:12:52    -1084.595459        0.004421
FIRE2:   35 17:12:52    -1084.595459        0.002505
FIRE2:   36 17:12:52    -1084.595459        0.000644
