       Step     Time          Energy          fmax
FIRE2:    0 17:14:28    -1073.773438        0.259700
FIRE2:    1 17:14:28    -1073.780029        0.242216
FIRE2:    2 17:14:28    -1073.791626        0.208753
FIRE2:    3 17:14:28    -1073.804932        0.162247
FIRE2:    4 17:14:28    -1073.817139        0.106999
FIRE2:    5 17:14:28    -1073.825684        0.048843
FIRE2:    6 17:14:28    -1073.829590        0.031084
FIRE2:    7 17:14:28    -1073.829346        0.035322
FIRE2:    8 17:14:29    -1073.829834        0.026866
FIRE2:    9 17:14:29    -1073.829834        0.025900
FIRE2:   10 17:14:29    -1073.830078        0.024477
FIRE2:   11 17:14:29    -1073.830078        0.022660
FIRE2:   12 17:14:29    -1073.830078        0.022537
FIRE2:   13 17:14:29    -1073.830322        0.022387
FIRE2:   14 17:14:29    -1073.830444        0.022208
FIRE2:   15 17:14:29    -1073.830566        0.021995
FIRE2:   16 17:14:29    -1073.830566        0.021746
FIRE2:   17 17:14:29    -1073.830688        0.021456
FIRE2:   18 17:14:30    -1073.830811        0.021124
FIRE2:   19 17:14:30    -1073.830811        0.020751
FIRE2:   20 17:14:30    -1073.830933        0.020347
FIRE2:   21 17:14:30    -1073.831055        0.019921
FIRE2:   22 17:14:30    -1073.831055        0.019481
FIRE2:   23 17:14:30    -1073.831055        0.019031
FIRE2:   24 17:14:30    -1073.831299        0.018573
FIRE2:   25 17:14:30    -1073.831299        0.018103
FIRE2:   26 17:14:30    -1073.831299        0.017623
FIRE2:   27 17:14:30    -1073.831299        0.017129
FIRE2:   28 17:14:30    -1073.831543        0.016619
FIRE2:   29 17:14:30    -1073.831543        0.016040
FIRE2:   30 17:14:31    -1073.831665        0.015380
FIRE2:   31 17:14:31    -1073.831787        0.014628
FIRE2:   32 17:14:31    -1073.831787        0.013771
FIRE2:   33 17:14:31    -1073.832031        0.012798
FIRE2:   34 17:14:31    -1073.832031        0.011690
FIRE2:   35 17:14:31    -1073.832153        0.010435
FIRE2:   36 17:14:31    -1073.832275        0.009009
FIRE2:   37 17:14:31    -1073.832397        0.007398
FIRE2:   38 17:14:31    -1073.832520        0.005583
FIRE2:   39 17:14:31    -1073.832642        0.003554
FIRE2:   40 17:14:31    -1073.832764        0.001303
FIRE2:   41 17:14:31    -1073.832764        0.002892
FIRE2:   42 17:14:32    -1073.832642        0.001895
FIRE2:   43 17:14:32    -1073.832764        0.001624
FIRE2:   44 17:14:32    -1073.832642        0.001241
FIRE2:   45 17:14:32    -1073.832642        0.000786
