       Step     Time          Energy          fmax
FIRE2:    0 21:23:56    -1082.215332        0.174057
FIRE2:    1 21:23:56    -1082.224609        0.157783
FIRE2:    2 21:23:56    -1082.239746        0.127118
FIRE2:    3 21:23:56    -1082.255615        0.085733
FIRE2:    4 21:23:56    -1082.267334        0.040429
FIRE2:    5 21:23:56    -1082.273193        0.044860
FIRE2:    6 21:23:56    -1082.275635        0.037175
FIRE2:    7 21:23:56    -1082.277588        0.034452
FIRE2:    8 21:23:56    -1082.279785        0.027858
FIRE2:    9 21:23:56    -1082.281616        0.027127
FIRE2:   10 21:23:56    -1082.282959        0.020175
FIRE2:   11 21:23:56    -1082.283936        0.013822
FIRE2:   12 21:23:56    -1082.284180        0.009243
FIRE2:   13 21:23:56    -1082.284180        0.008640
FIRE2:   14 21:23:57    -1082.284180        0.008238
FIRE2:   15 21:23:57    -1082.284424        0.007650
FIRE2:   16 21:23:57    -1082.284424        0.006891
FIRE2:   17 21:23:57    -1082.284424        0.005981
FIRE2:   18 21:23:57    -1082.284424        0.004980
FIRE2:   19 21:23:57    -1082.284424        0.003903
FIRE2:   20 21:23:57    -1082.284424        0.002709
FIRE2:   21 21:23:57    -1082.284668        0.001434
FIRE2:   22 21:23:57    -1082.284546        0.001315
FIRE2:   23 21:23:57    -1082.284546        0.001047
FIRE2:   24 21:23:57    -1082.284546        0.001035
FIRE2:   25 21:23:57    -1082.284546        0.001021
FIRE2:   26 21:23:57    -1082.284546        0.001001
FIRE2:   27 21:23:57    -1082.284668        0.000977
FIRE2:   28 21:23:57    -1082.284546        0.000948
FIRE2:   29 21:23:57    -1082.284668        0.000914
FIRE2:   30 21:23:57    -1082.284668        0.000878
FIRE2:   31 21:23:58    -1082.284668        0.000838
FIRE2:   32 21:23:58    -1082.284546        0.000793
FIRE2:   33 21:23:58    -1082.284668        0.000747
FIRE2:   34 21:23:58    -1082.284668        0.000699
FIRE2:   35 21:23:58    -1082.284668        0.000649
FIRE2:   36 21:23:58    -1082.284668        0.000598
FIRE2:   37 21:23:58    -1082.284668        0.000582
FIRE2:   38 21:23:58    -1082.284668        0.000571
FIRE2:   39 21:23:58    -1082.284668        0.000556
FIRE2:   40 21:23:58    -1082.284668        0.000539
FIRE2:   41 21:23:58    -1082.284668        0.000520
FIRE2:   42 21:23:58    -1082.284668        0.000498
FIRE2:   43 21:23:58    -1082.284668        0.000473
FIRE2:   44 21:23:58    -1082.284668        0.000443
FIRE2:   45 21:23:58    -1082.284668        0.000406
FIRE2:   46 21:23:58    -1082.284668        0.000365
FIRE2:   47 21:23:58    -1082.284668        0.000317
FIRE2:   48 21:23:58    -1082.284668        0.000264
FIRE2:   49 21:23:59    -1082.284668        0.000233
FIRE2:   50 21:23:59    -1082.284668        0.000217
FIRE2:   51 21:23:59    -1082.284668        0.000186
FIRE2:   52 21:23:59    -1082.284668        0.000138
FIRE2:   53 21:23:59    -1082.284668        0.000068
