       Step     Time          Energy          fmax
FIRE2:    0 21:24:13    -1081.978638        0.355559
FIRE2:    1 21:24:14    -1082.017334        0.320675
FIRE2:    2 21:24:14    -1082.079834        0.255799
FIRE2:    3 21:24:14    -1082.144043        0.170014
FIRE2:    4 21:24:14    -1082.190552        0.081705
FIRE2:    5 21:24:14    -1082.213135        0.089754
FIRE2:    6 21:24:14    -1082.223145        0.073748
FIRE2:    7 21:24:14    -1082.231201        0.069457
FIRE2:    8 21:24:14    -1082.239624        0.055953
FIRE2:    9 21:24:14    -1082.247070        0.054177
FIRE2:   10 21:24:14    -1082.252441        0.040159
FIRE2:   11 21:24:14    -1082.255859        0.027678
FIRE2:   12 21:24:14    -1082.257202        0.019115
FIRE2:   13 21:24:14    -1082.257324        0.017650
FIRE2:   14 21:24:14    -1082.257446        0.016585
FIRE2:   15 21:24:14    -1082.257568        0.015377
FIRE2:   16 21:24:14    -1082.257812        0.013837
FIRE2:   17 21:24:15    -1082.258057        0.011993
FIRE2:   18 21:24:15    -1082.258301        0.009902
FIRE2:   19 21:24:15    -1082.258545        0.007740
FIRE2:   20 21:24:15    -1082.258667        0.005348
FIRE2:   21 21:24:15    -1082.258789        0.002858
FIRE2:   22 21:24:15    -1082.258789        0.002685
FIRE2:   23 21:24:15    -1082.258789        0.002143
FIRE2:   24 21:24:15    -1082.258789        0.002121
FIRE2:   25 21:24:15    -1082.258789        0.002090
FIRE2:   26 21:24:15    -1082.258789        0.002047
FIRE2:   27 21:24:15    -1082.258789        0.001996
FIRE2:   28 21:24:15    -1082.258789        0.001934
FIRE2:   29 21:24:15    -1082.258789        0.001864
FIRE2:   30 21:24:15    -1082.258789        0.001786
FIRE2:   31 21:24:15    -1082.258789        0.001701
FIRE2:   32 21:24:15    -1082.258789        0.001610
FIRE2:   33 21:24:15    -1082.258789        0.001513
FIRE2:   34 21:24:15    -1082.258789        0.001412
FIRE2:   35 21:24:16    -1082.258789        0.001308
FIRE2:   36 21:24:16    -1082.258789        0.001203
FIRE2:   37 21:24:16    -1082.258789        0.001163
FIRE2:   38 21:24:16    -1082.258789        0.001140
FIRE2:   39 21:24:16    -1082.258789        0.001111
FIRE2:   40 21:24:16    -1082.258789        0.001078
FIRE2:   41 21:24:16    -1082.258789        0.001039
FIRE2:   42 21:24:16    -1082.258789        0.000994
FIRE2:   43 21:24:16    -1082.258789        0.000945
FIRE2:   44 21:24:16    -1082.258789        0.000886
FIRE2:   45 21:24:16    -1082.258789        0.000815
FIRE2:   46 21:24:16    -1082.258789        0.000733
FIRE2:   47 21:24:16    -1082.258789        0.000637
FIRE2:   48 21:24:16    -1082.258789        0.000533
FIRE2:   49 21:24:16    -1082.258789        0.000472
FIRE2:   50 21:24:16    -1082.258789        0.000436
FIRE2:   51 21:24:17    -1082.258789        0.000371
FIRE2:   52 21:24:17    -1082.258789        0.000272
FIRE2:   53 21:24:17    -1082.258789        0.000133
FIRE2:   54 21:24:17    -1082.258789        0.000042
