       Step     Time          Energy          fmax
FIRE2:    0 21:10:41    -1081.811768        0.292740
FIRE2:    1 21:10:46    -1081.814209        0.291949
FIRE2:    2 21:10:48    -1081.819336        0.290362
FIRE2:    3 21:10:51    -1081.827026        0.287990
FIRE2:    4 21:10:53    -1081.836914        0.284837
FIRE2:    5 21:10:56    -1081.849365        0.280916
FIRE2:    6 21:10:58    -1081.863770        0.276237
FIRE2:    7 21:11:01    -1081.880127        0.270810
FIRE2:    8 21:11:03    -1081.898438        0.264654
FIRE2:    9 21:11:05    -1081.918457        0.257789
FIRE2:   10 21:11:08    -1081.939697        0.250234
FIRE2:   11 21:11:10    -1081.962158        0.242016
FIRE2:   12 21:11:13    -1081.985596        0.233155
FIRE2:   13 21:11:15    -1082.009766        0.223676
FIRE2:   14 21:11:18    -1082.034424        0.213618
FIRE2:   15 21:11:20    -1082.059082        0.203003
FIRE2:   16 21:11:23    -1082.083740        0.191867
FIRE2:   17 21:11:25    -1082.108154        0.180242
FIRE2:   18 21:11:27    -1082.131836        0.168164
FIRE2:   19 21:11:30    -1082.154785        0.155672
FIRE2:   20 21:11:33    -1082.176392        0.142796
FIRE2:   21 21:11:35    -1082.196777        0.129581
FIRE2:   22 21:11:37    -1082.217529        0.114675
FIRE2:   23 21:11:40    -1082.238037        0.097891
FIRE2:   24 21:11:42    -1082.257080        0.079046
FIRE2:   25 21:11:45    -1082.273682        0.057959
FIRE2:   26 21:11:47    -1082.286255        0.034459
FIRE2:   27 21:11:50    -1082.292725        0.008428
FIRE2:   28 21:11:52    -1082.290771        0.020209
FIRE2:   29 21:11:56    -1082.292236        0.013022
FIRE2:   30 21:11:58    -1082.292236        0.012960
FIRE2:   31 21:12:01    -1082.292236        0.012864
FIRE2:   32 21:12:03    -1082.292236        0.012738
FIRE2:   33 21:12:06    -1082.292236        0.012578
FIRE2:   34 21:12:08    -1082.292236        0.012388
FIRE2:   35 21:12:10    -1082.292480        0.012167
FIRE2:   36 21:12:13    -1082.292358        0.011920
FIRE2:   37 21:12:15    -1082.292480        0.011644
FIRE2:   38 21:12:18    -1082.292480        0.011336
FIRE2:   39 21:12:20    -1082.292480        0.011000
FIRE2:   40 21:12:23    -1082.292480        0.010641
FIRE2:   41 21:12:25    -1082.292480        0.010252
FIRE2:   42 21:12:27    -1082.292725        0.009842
FIRE2:   43 21:12:30    -1082.292725        0.009404
FIRE2:   44 21:12:32    -1082.292725        0.008942
FIRE2:   45 21:12:35    -1082.292725        0.008463
FIRE2:   46 21:12:37    -1082.292847        0.007960
FIRE2:   47 21:12:39    -1082.292847        0.007439
FIRE2:   48 21:12:42    -1082.292969        0.006897
FIRE2:   49 21:12:44    -1082.292969        0.006340
FIRE2:   50 21:12:47    -1082.292969        0.005711
FIRE2:   51 21:12:49    -1082.292969        0.004997
FIRE2:   52 21:12:52    -1082.293091        0.004189
FIRE2:   53 21:12:54    -1082.293213        0.003282
FIRE2:   54 21:12:56    -1082.293213        0.002259
FIRE2:   55 21:12:59    -1082.293213        0.001110
FIRE2:   56 21:13:01    -1082.293213        0.000154
