       Step     Time          Energy          fmax
FIRE2:    0 22:12:32    -1081.811768       64.901164
FIRE2:    1 22:12:32     -971.104736     1749.442490
FIRE2:    2 22:12:37    -1028.822510      540.716774
FIRE2:    3 22:12:40    -1057.168579      551.872352
FIRE2:    4 22:12:40    -1082.201660       27.538242
FIRE2:    5 22:12:40    -1081.729248       70.377860
FIRE2:    6 22:12:40    -1082.130371       37.312555
FIRE2:    7 22:12:40    -1082.228394       23.396015
FIRE2:    8 22:12:40    -1082.289062        5.855438
FIRE2:    9 22:12:40    -1082.274658       12.380568
FIRE2:   10 22:12:41    -1082.286377        7.514626
FIRE2:   11 22:12:41    -1082.287354        6.889489
FIRE2:   12 22:12:41    -1082.288818        5.981349
FIRE2:   13 22:12:41    -1082.290283        4.831369
FIRE2:   14 22:12:41    -1082.291748        3.483489
FIRE2:   15 22:12:41    -1082.292725        1.990126
FIRE2:   16 22:12:41    -1082.293213        0.415929
FIRE2:   17 22:12:41    -1082.292969        1.177068
FIRE2:   18 22:12:41    -1082.293213        0.656123
FIRE2:   19 22:12:41    -1082.293091        0.633426
FIRE2:   20 22:12:41    -1082.293213        0.601059
FIRE2:   21 22:12:41    -1082.293213        0.558151
FIRE2:   22 22:12:41    -1082.293213        0.506088
FIRE2:   23 22:12:41    -1082.293213        0.445016
FIRE2:   24 22:12:42    -1082.293213        0.377727
FIRE2:   25 22:12:42    -1082.293213        0.302105
FIRE2:   26 22:12:42    -1082.293213        0.223114
FIRE2:   27 22:12:42    -1082.293213        0.139720
FIRE2:   28 22:12:42    -1082.293213        0.054506
FIRE2:   29 22:12:42    -1082.293213        0.032244
FIRE2:   30 22:12:42    -1082.293213        0.011175
FIRE2:   31 22:12:42    -1082.293213        0.009658
FIRE2:   32 22:12:42    -1082.293213        0.009486
FIRE2:   33 22:12:42    -1082.293213        0.008924
FIRE2:   34 22:12:42    -1082.293213        0.008454
FIRE2:   35 22:12:42    -1082.293213        0.008100
FIRE2:   36 22:12:43    -1082.293213        0.006395
FIRE2:   37 22:12:43    -1082.293213        0.004738
FIRE2:   38 22:12:43    -1082.293213        0.003834
FIRE2:   39 22:12:43    -1082.293213        0.002663
FIRE2:   40 22:12:43    -1082.293213        0.000957
