       Step     Time          Energy          fmax
FIRE2:    0 21:13:07    -1081.811768       64.901127
FIRE2:    1 21:13:08     -971.104736     1749.443026
FIRE2:    2 21:13:10    -1028.822754      540.716323
FIRE2:    3 21:13:12    -1057.168579      551.872361
FIRE2:    4 21:13:12    -1082.201660       27.538757
FIRE2:    5 21:13:13    -1081.729248       70.375917
FIRE2:    6 21:13:13    -1082.130371       37.310903
FIRE2:    7 21:13:13    -1082.228394       23.394869
FIRE2:    8 21:13:13    -1082.289062        5.855158
FIRE2:    9 21:13:13    -1082.274658       12.380070
FIRE2:   10 21:13:13    -1082.286377        7.513590
FIRE2:   11 21:13:13    -1082.287354        6.888973
FIRE2:   12 21:13:13    -1082.288818        5.981202
FIRE2:   13 21:13:13    -1082.290283        4.830910
FIRE2:   14 21:13:13    -1082.291748        3.482343
FIRE2:   15 21:13:13    -1082.292725        1.990082
FIRE2:   16 21:13:13    -1082.293213        0.415928
FIRE2:   17 21:13:13    -1082.292969        1.177144
FIRE2:   18 21:13:13    -1082.293213        0.656127
FIRE2:   19 21:13:13    -1082.293091        0.633188
FIRE2:   20 21:13:13    -1082.293213        0.600971
FIRE2:   21 21:13:14    -1082.293213        0.558044
FIRE2:   22 21:13:14    -1082.293213        0.506119
FIRE2:   23 21:13:14    -1082.293213        0.444922
FIRE2:   24 21:13:14    -1082.293213        0.377341
FIRE2:   25 21:13:14    -1082.293213        0.302035
FIRE2:   26 21:13:14    -1082.293213        0.223080
FIRE2:   27 21:13:14    -1082.293213        0.139775
FIRE2:   28 21:13:14    -1082.293213        0.053869
FIRE2:   29 21:13:14    -1082.293213        0.032276
FIRE2:   30 21:13:14    -1082.293213        0.011151
FIRE2:   31 21:13:14    -1082.293213        0.009700
FIRE2:   32 21:13:14    -1082.293213        0.009506
FIRE2:   33 21:13:14    -1082.293213        0.008900
FIRE2:   34 21:13:14    -1082.293213        0.008435
FIRE2:   35 21:13:14    -1082.293213        0.008024
FIRE2:   36 21:13:14    -1082.293213        0.006248
FIRE2:   37 21:13:14    -1082.293213        0.004684
FIRE2:   38 21:13:14    -1082.293213        0.003861
FIRE2:   39 21:13:15    -1082.293213        0.002679
FIRE2:   40 21:13:15    -1082.293213        0.000930
FIRE2:   41 21:13:15    -1082.293213        0.000373
FIRE2:   42 21:13:15    -1082.293213        0.000328
FIRE2:   43 21:13:15    -1082.293213        0.000312
FIRE2:   44 21:13:15    -1082.293213        0.000345
FIRE2:   45 21:13:15    -1082.293213        0.000303
FIRE2:   46 21:13:15    -1082.293213        0.000305
FIRE2:   47 21:13:15    -1082.293213        0.000340
FIRE2:   48 21:13:15    -1082.293213        0.000310
FIRE2:   49 21:13:15    -1082.293213        0.000316
FIRE2:   50 21:13:15    -1082.293213        0.000319
FIRE2:   51 21:13:15    -1082.293213        0.000326
FIRE2:   52 21:13:15    -1082.293213        0.000970
FIRE2:   53 21:13:15    -1082.293213        0.000325
FIRE2:   54 21:13:16    -1082.293213        0.000737
